V,I,wmot
0.701368524,0.08,18.46053839
1.402737048,0.1,44.27927583
2.104105572,0.12,68.22532952
2.805474096,0.13,93.18012898
3.50684262,0.14,114.65586
4.208211144,0.15,140.0033585
4.909579668,0.16,165.3201775
5.610948192,0.17,188.753268
6.312316716,0.18,211.2966496
7.013685239,0.19,236.815954
7.715053763,0.2,263.402909
8.416422287,0.21,288.554058
9.117790811,0.22,310.2629542
9.819159335,0.225,336.8805888
10.52052786,0.23,362.7557767
11.22189638,0.24,386.5877022
11.92326491,0.25,412.3892591
12.62463343,0.25,436.1230098
14.02737048,0.26,484.4802202
15.43010753,0.26,535.518829
16.83284457,0.27,583.2931266
18.23558162,0.28,631.6319292
19.63831867,0.28,684.1554314
