METADATA,
,Tscript (s),wmax (bool),wmax (rad/s),L (m),wh D (m),ctrlMode,robpCtrlMode,FREQDIVPOSCTRL,feed-forward (bool),
General,0.01,OFF,0,0.195,0.102,cmRobP,pcmTXT,4,OFF,
,ri (ohm),ki (Nm/A),vmax (V),imax (A),n:1 (gear),bv (dynamic),fc (static),kc (V / rad/s),ti (s),
Motor,0.6,0.3624,24,6,1,0.001316282616,0.80734166,0.547956859752217,0.208736119092,
Robot,(v):,(vn):,(w):,
kp,1.019649723,1.031417953,0.978734897,
tau (s),0.121202798,0.105652003,0.090826489,
kc,5.31321566904839,4.57866482846397,4.14804307364209,
td (s),0.0744844569896801,0.0473159100918112,0.0127519342197234,
,Filename,Nfuture,Npoly,Nudiv,
pcmTxt,0,8,2,0,
DATA,
time (s),time w/ T*4 (s),traj (bool),v_m1 (V),v_m2 (V),v_m3 (V),odo_m1 (tcks/cyc),odo_m2 (tcks/cyc),odo_m3 (tcks/cyc),w_m1 (rad/s),w_m2 (rad/s),w_m3 (rad/s),w_r_m1 (rad/s),w_r_m2 (rad/s),w_r_m3 (rad/s),w_e_m1 (rad/s),w_e_m2 (rad/s),w_e_m3 (rad/s),w_eint_m1 (rad/s),w_eint_m2 (rad/s),w_eint_m3 (rad/s),v_rob (m/s),vn_rob (m/s),w_rob (rad/s),v_r_rob (m/s),vn_r_rob (m/s),w_r_rob (rad/s),v_pd_r_rob (m/s),vn_pd_r_rob (m/s),w_pd_r_rob (rad/s),v_ff_r_rob (m/s),vn_ff_r_rob (m/s),w_ff_r_rob (rad/s),px_loc (m),py_loc (m),pth_loc (rad),px_r_loc (m),py_r_loc (m),pth_r_loc (rad),px_r_1deriv_loc,py_r_1deriv_loc,pth_r_1deriv_loc,px_r_2deriv_loc,py_r_2deriv_loc,pth_r_2deriv_loc,px_e_loc (m),py_e_loc (m),pth_e_loc (rad),px_e_1deriv_loc,py_e_1deriv_loc,pth_e_1deriv_loc,px_gt (m),py_gt (m),pth_gt (rad),px_odo (m),py_odo (m),pth_odo (rad),px (m),py (m),pth (rad),px_r (m),py_r (m),pth_r (rad),px_r_1deriv,py_r_1deriv,pth_r_1deriv,px_r_2deriv,py_r_2deriv,pth_r_2deriv,xvel,i_global,u_ref,
0,0,1,0,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000989842856383,0.00118523883257,-0.000654407493696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000593527583987,-0.000207851349842,0.000145839601808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.01,0,1,-0.840558162527,1.33088375733,0.490325594807,12,-19,-7,0.613592315154,-0.971521165661,-0.357928850507,0,0,0,-0.613592315154,0.971521165661,0.357928850507,0,0,0,0.0466734504371,0.00608479045861,-0.0624081072678,0,0,0,-0.000989842856383,0.00118523883257,-0.000654407493696,0,0,0,4.28882407632E-7,-1.00340959089E-7,5.06320304794E-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28882458436E-7,-1.00340741938E-7,5.06320304794E-7,0.000466772379928,0.0000605566116028,-0.000624081072678,4.28882458436E-7,-1.00340741938E-7,5.06320304794E-7,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.02,0,1,0.0700465135439,0.140093027088,-0.630418621895,-1,-2,9,-0.0511326929295,-0.102265385859,0.460194236366,0,0,0,0.0511326929295,0.102265385859,-0.460194236366,0,0,0,0.00150559517539,-0.0182543713758,0.0267463316862,0,0,0,-0.000989842856383,0.00118523883257,-0.000654407493696,0,0,0,1.4761913003E-6,-8.70366388666E-9,5.19596343613E-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47619130075E-6,-8.7035871843E-9,5.19596343613E-8,0.000481763232352,-0.000121992459223,-0.000356617755816,1.47619130075E-6,-8.7035871843E-9,5.19596343613E-8,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.03,0.04,1,0.727600706257,0.574626869404,-0.376138620281,-4,-14,5,-0.204530771718,-0.715857701013,0.255663464648,0.302322618817,-0.315567301973,-0.00635818178692,0.506853390535,0.40029039904,-0.262021646435,0.00506853390535,0.0040029039904,-0.00262021646435,0.0150559517539,-0.0243391618345,-0.0579503853201,0.018193684517,-8.98143290215E-6,-0.001708967713,0.018193684517,-8.98143290215E-6,-0.001708967713,0,0,0,3.59924707349E-6,9.00724520569E-7,-1.75841785221E-6,0.0012,2.11010142266E-9,-0.000314159265359,0.12,2.11010142266E-7,-0.0314159265359,0.0249700598802,4.39077990642E-8,-0.00653714638996,0.00119640075292,-8.98614419147E-7,-0.000312400847507,0.0299100188231,-0.0000224653604787,-0.00781002118767,3.59924865734E-6,9.00718191588E-7,-1.75841785221E-6,0.000632094837697,-0.000365524909513,-0.000936121609017,3.59924865734E-6,9.00718191588E-7,-1.75841785221E-6,0.0012,0,-0.000314159265359,0.12,0,-0.0314159265359,0.0249700598802,0,-0.00653714638996,0.75,0,0.75,
0.04,0.04,1,0.173646497268,-0.133125389633,0.85450377115,4,-4,-12,0.204530771718,-0.204530771718,-0.613592315154,0.302322618817,-0.315567301973,-0.00635818178692,0.0977918470986,-0.111036530255,0.607234133367,0.00604645237633,0.00289253868785,0.00345212486933,0.0120447614031,0.0208621387152,-0.0534926633724,0.018193684517,-8.98143290215E-6,-0.001708967713,0.018193684517,-8.98143290215E-6,-0.001708967713,0,0,0,7.77054807617E-6,3.38490987599E-6,-4.04007141694E-6,0.0012,2.11010142266E-9,-0.000314159265359,0.12,2.11010142266E-7,-0.0314159265359,0.0249700598802,4.39077990642E-8,-0.00653714638996,0.00119640075292,-8.98614419147E-7,-0.000312400847507,0.0299100188231,-0.0000224653604787,-0.00781002118767,7.77056175139E-6,3.38487848239E-6,-4.04007141694E-6,0.00075284921198,-0.000157080934759,-0.00147104824274,7.77056175139E-6,3.38487848239E-6,-4.04007141694E-6,0.0012,0,-0.000314159265359,0.12,0,-0.0314159265359,0.0249700598802,0,-0.00653714638996,0.75,0,0.75,
0.05,0.04,1,1.53877157636,-2.22757015316,0.160332849412,-16,40,-2,-0.818123086872,2.04530771718,-0.102265385859,0.302322618817,-0.315567301973,-0.00635818178692,1.12044570569,-2.36087501915,0.0959072040721,0.0172509094332,-0.0207162115037,0.00441119691005,-0.0843133298218,0.0243391618345,0.0980698828494,0.018193684517,-8.98143290215E-6,-0.001708967713,0.018193684517,-8.98143290215E-6,-0.001708967713,0,0,0,0.0000156263839121,7.31990545737E-6,-8.09971334075E-6,0.0012,2.11010142266E-9,-0.000314159265359,0.12,2.11010142266E-7,-0.0314159265359,0.0249700598802,4.39077990642E-8,-0.00653714638996,0.00119640075292,-8.98614419147E-7,-0.000312400847507,0.0299100188231,-0.0000224653604787,-0.00781002118767,0.0000156264432007,7.3197788879E-6,-8.09971334075E-6,-0.0000901646041604,0.0000867240744568,-0.000490349414247,0.0000156264432007,7.3197788879E-6,-8.09971334075E-6,0.0012,0,-0.000314159265359,0.12,0,-0.0314159265359,0.0249700598802,0,-0.00653714638996,0.75,0,0.75,
0.06,0.04,1,-0.113414100502,1.24609501838,-0.200384228349,9,-25,3,0.460194236366,-1.27831732324,0.153398078789,0.302322618817,-0.315567301973,-0.00635818178692,-0.157871617549,0.962750021265,-0.159756260575,0.0156721932577,-0.011088711291,0.00281363430429,0.0511902359633,-0.0191236271556,-0.0579503853201,0.018193684517,-8.98143290215E-6,-0.001708967713,0.018193684517,-8.98143290215E-6,-0.001708967713,0,0,0,0.0000298573181353,0.0000121527960148,-0.0000126879857187,0.0012,2.11010142266E-9,-0.000314159265359,0.12,2.11010142266E-7,-0.0314159265359,0.0249700598802,4.39077990642E-8,-0.00653714638996,0.00119640075292,-8.98614419147E-7,-0.000312400847507,0.0299100188231,-0.0000224653604787,-0.00781002118767,0.0000298574723274,0.0000121524171846,-0.0000126879857187,0.000421532860643,-0.00010505974528,-0.00106985326745,0.0000298574723274,0.0000121524171846,-0.0000126879857187,0.0012,0,-0.000314159265359,0.12,0,-0.0314159265359,0.0249700598802,0,-0.00653714638996,0.75,0,0.75,
0.07,0.08,1,0.664045239031,-1.71040374492,0.0733898435102,4,15,-1,0.204530771718,0.766990393943,-0.0511326929295,0.595461976619,-0.629305937445,-0.0128717927386,0.390931204901,-1.39629633139,0.0382609001909,0.0195815053067,-0.0250516746049,0.0031962433062,-0.0165615469293,0.0182543713758,0.0802389950586,0.0360631243289,-0.000137706380924,-0.00407265543895,0.0360631243289,-0.000137706380924,-0.00407265543895,0,0,0,0.0000501331273187,0.0000143216308924,-0.0000177550383901,0.0031999999995,5.68161228454E-8,-0.000837758040957,0.149999999976,2.66325575838E-6,-0.0392699081699,0.0249700598763,4.43344371754E-7,-0.00653714638995,0.00314986687218,-0.0000142648147696,-0.000820003002567,0.0488366529813,-0.000334155008761,-0.0126900538765,0.0000501333815919,0.0000143207407746,-0.0000177550383901,0.000255966225462,0.0000775282531128,-0.000267463316861,0.0000501333815919,0.0000143207407746,-0.0000177550383901,0.0032,0,-0.000837758040957,0.15,0,-0.0392699081699,0.0249700598802,0,-0.00653714638995,0.75,1,0.5,
0.08,0.08,1,1.05671262765,-0.407173612798,-0.144305938741,-1,-9,2,-0.0511326929295,-0.460194236366,0.102265385859,0.595461976619,-0.629305937445,-0.0128717927386,0.646594669549,-0.169111701079,-0.115137178598,0.0260474520022,-0.0267427916157,0.00204487152023,0.0120447614031,-0.0121695809172,-0.0356617755816,0.0360631243289,-0.000137706380924,-0.00407265543895,0.0360631243289,-0.000137706380924,-0.00407265543895,0,0,0,0.0000712096001654,0.0000134699239601,-0.0000216488782963,0.0031999999995,5.68161228454E-8,-0.000837758040957,0.149999999976,2.66325575838E-6,-0.0392699081699,0.0249700598763,4.43344371754E-7,-0.00653714638995,0.00314986687218,-0.0000142648147696,-0.000820003002567,0.0488366529813,-0.000334155008761,-0.0126900538765,0.0000712098917575,0.0000134683823489,-0.0000216488782963,0.000376337867353,-0.0000442427007866,-0.000624081072678,0.0000712098917575,0.0000134683823489,-0.0000216488782963,0.0032,0,-0.000837758040957,0.15,0,-0.0392699081699,0.0249700598802,0,-0.00653714638995,0.75,1,0.5,
0.09,0.08,1,0.805538415384,-0.711881136391,0.582160402563,3,-5,-8,0.153398078789,-0.255663464648,-0.409061543436,0.595461976619,-0.629305937445,-0.0128717927386,0.442063897831,-0.373642472797,0.396189750698,0.0304680909805,-0.0304792163437,0.0060067690272,0.0120447614031,0.0121695809172,-0.044577219477,0.0360631243289,-0.000137706380924,-0.00407265543895,0.0360631243289,-0.000137706380924,-0.00407265543895,0,0,0,0.0000852276117288,0.0000118650026959,-0.0000246767114994,0.0031999999995,5.68161228454E-8,-0.000837758040957,0.149999999976,2.66325575838E-6,-0.0392699081699,0.0249700598763,4.43344371754E-7,-0.00653714638995,0.00314986687218,-0.0000142648147696,-0.000820003002567,0.0488366529813,-0.000334155008761,-0.0126900538765,0.0000852279044921,0.0000118628995551,-0.0000246767114994,0.000496915608089,0.0000773241764846,-0.00106985326745,0.0000852279044921,0.0000118628995551,-0.0000246767114994,0.0032,0,-0.000837758040957,0.15,0,-0.0392699081699,0.0249700598802,0,-0.00653714638995,0.75,1,0.5,
