METADATA,
,Tscript (s),wmax (bool),wmax (rad/s),L (m),wh D (m),ctrlMode,robpCtrlMode,FREQDIVPOSCTRL,feed-forward (bool),
General,0.01,OFF,0,0.195,0.102,cmRobP,pcmTXT,4,ON,
,ri (ohm),ki (Nm/A),vmax (V),imax (A),n:1 (gear),bv (dynamic),fc (static),kc (V / rad/s),ti (s),
Motor,0.6,0.3624,24,6,1,0.001316282616,0.80734166,0.547956859752217,0.208736119092,
Robot,(v):,(vn):,(w):,
kp,1.019649723,1.031417953,0.978734897,
tau (s),0.121202798,0.105652003,0.090826489,
kc,5.31321566904839,4.57866482846397,4.14804307364209,
td (s),0.0744844569896801,0.0473159100918112,0.0127519342197234,
,Filename,Nfuture,Npoly,Nudiv,
pcmTxt,0,20,2,0,
DATA,
time (s),time w/ T*4 (s),traj (bool),v_m1 (V),v_m2 (V),v_m3 (V),odo_m1 (tcks/cyc),odo_m2 (tcks/cyc),odo_m3 (tcks/cyc),w_m1 (rad/s),w_m2 (rad/s),w_m3 (rad/s),w_r_m1 (rad/s),w_r_m2 (rad/s),w_r_m3 (rad/s),w_e_m1 (rad/s),w_e_m2 (rad/s),w_e_m3 (rad/s),w_eint_m1 (rad/s),w_eint_m2 (rad/s),w_eint_m3 (rad/s),v_rob (m/s),vn_rob (m/s),w_rob (rad/s),v_r_rob (m/s),vn_r_rob (m/s),w_r_rob (rad/s),v_pd_r_rob (m/s),vn_pd_r_rob (m/s),w_pd_r_rob (rad/s),v_ff_r_rob (m/s),vn_ff_r_rob (m/s),w_ff_r_rob (rad/s),px_loc (m),py_loc (m),pth_loc (rad),px_r_loc (m),py_r_loc (m),pth_r_loc (rad),px_r_1deriv_loc,py_r_1deriv_loc,pth_r_1deriv_loc,px_r_2deriv_loc,py_r_2deriv_loc,pth_r_2deriv_loc,px_e_loc (m),py_e_loc (m),pth_e_loc (rad),px_e_1deriv_loc,py_e_1deriv_loc,pth_e_1deriv_loc,px_gt (m),py_gt (m),pth_gt (rad),px_odo (m),py_odo (m),pth_odo (rad),px (m),py (m),pth (rad),px_r (m),py_r (m),pth_r (rad),px_r_1deriv,py_r_1deriv,pth_r_1deriv,px_r_2deriv,py_r_2deriv,pth_r_2deriv,xvel,i_global,u_ref,
0,0,1,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000883744201034,0.000334802843766,0.000365119922119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000241514586378,-0.00015709613217,-0.0000849622299713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.01,0,1,0.980651189615,-0.420279081264,0.770511648983,-14,6,-11,-0.715857701013,0.306796157577,-0.562459622225,0,0,0,0.715857701013,-0.306796157577,0.562459622225,0,0,0,-0.0301119035078,0.0121695809172,-0.0846967170063,0,0,0,-0.000883744201034,0.000334802843766,0.000365119922119,0,0,0,1.1743585482E-7,-4.04129142972E-8,-5.71448879327E-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17435831726E-7,-4.04129814058E-8,-5.71448879327E-7,-0.000301015845734,0.000121950799784,-0.000846967170063,1.17435831726E-7,-4.04129814058E-8,-5.71448879327E-7,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.02,0,1,0.140093027088,-0.0700465135439,0.280186054176,-2,1,-4,-0.102265385859,0.0511326929295,-0.204530771718,0,0,0,0.102265385859,-0.0511326929295,0.204530771718,0,0,0,-0.00451678552617,0.00608479045861,-0.0222886097385,0,0,0,-0.000883744201034,0.000334802843766,0.000365119922119,0,0,0,5.1870853E-7,-2.25880138401E-7,-2.25545604536E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18708020536E-7,-2.25881308324E-7,-2.25545604536E-6,-0.000346118576735,0.00018284699239,-0.00106985326745,5.18708020536E-7,-2.25881308324E-7,-2.25545604536E-6,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.03,0.04,1,3.98805646974,-4.19336199305,-0.220264739088,-1,8,3,-0.0511326929295,0.409061543436,0.153398078789,5.36245659222,-5.36207328363,-0.0000403784059883,5.41358928515,-5.77113482707,-0.153438457195,0.0541358928515,-0.0577113482707,-0.00153438457195,-0.0135503565785,0.000869255779802,0.044577219477,0.315782320749,7.8891118083E-6,0.0000298964774508,0.018226414882,6.28380567014E-6,0.0000298964774508,0.297555905867,1.60530613816E-6,0,1.44692693402E-6,-6.22152065722E-7,-5.46510318594E-6,0.00119999999998,6.5581238231E-9,0,0.299999999996,1.63953095577E-6,0,0.0280752346859,1.53434054529E-7,0,0.00119855307305,6.28710189545E-7,5.465103186E-6,0.0299638268262,0.0000157177547386,0.00013662757965,1.44692353388E-6,-6.22159973318E-7,-5.46510318594E-6,-0.00048161669015,0.000191624113628,-0.000624081072678,1.44692353388E-6,-6.22159973318E-7,-5.46510318594E-6,0.0012,0,0,0.3,0,0,0.0280752346863,0,0,0.75,0,0.75,
0.04,0.04,1,3.80720071993,-3.7282842025,-0.523943656463,10,-13,7,0.511326929295,-0.664725008084,0.357928850507,5.36245659222,-5.36207328363,-0.0000403784059883,4.85112966293,-4.69734827555,-0.357969228913,0.102647189481,-0.104684831026,-0.00511407686107,0.034628689034,-0.0147773482566,0.0178308877908,0.315782320749,7.8891118083E-6,0.0000298964774508,0.018226414882,6.28380567014E-6,0.0000298964774508,0.297555905867,1.60530613816E-6,0,9.29054307053E-6,3.85911243214E-7,-6.75404180573E-6,0.00119999999998,6.5581238231E-9,0,0.299999999996,1.63953095577E-6,0,0.0280752346859,1.53434054529E-7,0,0.00119855307305,6.28710189545E-7,5.465103186E-6,0.0299638268262,0.0000157177547386,0.00013662757965,9.29054567678E-6,3.85848494489E-7,-6.75404180573E-6,-0.000135395707983,0.0000436962808774,-0.00044577219477,9.29054567678E-6,3.85848494489E-7,-6.75404180573E-6,0.0012,0,0,0.3,0,0,0.0280752346863,0,0,0.75,0,0.75,
0.05,0.04,1,3.6996621531,-3.79287351242,-0.694241036246,18,-15,9,0.920388472731,-0.766990393943,0.460194236366,5.36245659222,-5.36207328363,-0.0000403784059883,4.44206811949,-4.59508288969,-0.460234614772,0.147067870676,-0.150635659923,-0.00971642300879,0.0496846407879,-0.013038836697,0.0534926633724,0.315782320749,7.8891118083E-6,0.0000298964774508,0.018226414882,6.28380567014E-6,0.0000298964774508,0.297555905867,1.60530613816E-6,0,0.000102067265698,5.09442727177E-6,-2.59767762145E-6,0.00119999999998,6.5581238231E-9,0,0.299999999996,1.63953095577E-6,0,0.0280752346859,1.53434054529E-7,0,0.00119855307305,6.28710189545E-7,5.465103186E-6,0.0299638268262,0.0000157177547386,0.00013662757965,0.000102067278931,5.0941621339E-6,-2.59767762145E-6,0.000361462316699,-0.000086647787958,0.0000891544389541,0.000102067278931,5.0941621339E-6,-2.59767762145E-6,0.0012,0,0,0.3,0,0,0.0280752346863,0,0,0.75,0,0.75,
0.06,0.04,1,4.10987969675,-4.03094305472,0.817002035196,8,-11,-12,0.409061543436,-0.562459622225,-0.613592315154,5.36245659222,-5.36207328363,-0.0000403784059883,4.95339504879,-4.79961366141,0.613551936748,0.196601821164,-0.198631796537,-0.00358090364131,0.0286063083324,0.0182543713758,-0.0668658292155,0.315782320749,7.8891118083E-6,0.0000298964774508,0.018226414882,6.28380567014E-6,0.0000298964774508,0.297555905867,1.60530613816E-6,0,0.000332627441883,9.4247254621E-6,-3.46770006701E-6,0.00119999999998,6.5581238231E-9,0,0.299999999996,1.63953095577E-6,0,0.0280752346859,1.53434054529E-7,0,0.00119855307305,6.28710189545E-7,5.465103186E-6,0.0299638268262,0.0000157177547386,0.00013662757965,0.000332627474563,9.42357200984E-6,-3.46770006701E-6,0.000647631131438,0.0000957301171017,-0.000579503853201,0.000332627474563,9.42357200984E-6,-3.46770006701E-6,0.0012,0,0,0.3,0,0,0.0280752346863,0,0,0.75,0,0.75,
0.07,0.08,1,4.22087577335,-4.25669699681,0.494035365434,21,-20,-7,1.07378655152,-1.02265385859,-0.357928850507,5.9940292106,-5.99599974417,0.00259164452465,4.92024265908,-4.97334588557,0.360520495031,0.245804247754,-0.248365255393,0.000024301309007,0.061729402191,0.013038836697,-0.0267463316862,0.353044768676,-0.000121614984455,0.0000541481348845,0.0260669943902,-0.000125236882595,0.0000541481348845,0.326977774286,3.62189814054E-6,0,0.000706069558179,0.0000122254659794,-0.000011219429217,0.0031999999998,3.59021734936E-8,0,0.329999999979,3.70241164153E-6,0,0.0280752346845,3.14988108307E-7,0,0.00249393044162,-0.0000121895638059,0.0000112194292168,0.0323844342143,-0.000320456849885,0.00014385815077,0.000706069695298,0.0000122175442812,-0.000011219429217,0.00126503536475,0.000225595609209,-0.000846967170063,0.000706069695298,0.0000122175442812,-0.000011219429217,0.0032,0,0,0.33,0,0,0.0280752346863,0,0,0.75,1,0.5,
0.08,0.08,1,4.29131632296,-4.24044915906,-0.216326919379,23,-25,3,1.17605193738,-1.27831732324,0.153398078789,5.9940292106,-5.99599974417,0.00259164452465,4.81797727322,-4.71768242093,-0.150806434264,0.293984020487,-0.295542079602,-0.00148376303363,0.0722685684187,-0.00695404623841,0.0044577219477,0.353044768676,-0.000121614984455,0.0000541481348845,0.0260669943902,-0.000125236882595,0.0000541481348845,0.326977774286,3.62189814054E-6,0,0.00123937023544,0.0000140780795498,0.0000186539985962,0.0031999999998,3.59021734936E-8,0,0.329999999979,3.70241164153E-6,0,0.0280752346845,3.14988108307E-7,0,0.00249393044162,-0.0000121895638059,0.0000112194292168,0.0323844342143,-0.000320456849885,0.00014385815077,0.00123936997261,0.000014101198758,0.0000186539985962,0.00198766501767,0.000155475293549,-0.000802389950586,0.00123936997261,0.000014101198758,0.0000186539985962,0.0032,0,0,0.33,0,0,0.0280752346863,0,0,0.75,1,0.5,
0.09,0.08,1,4.15354666375,-4.15876824836,0.80140754734,32,-32,-11,1.63624617374,-1.63624617374,-0.562459622225,5.9940292106,-5.99599974417,0.00259164452465,4.35778303685,-4.35975357042,0.565051266749,0.337561850855,-0.339139615306,0.00416674963386,0.0963580912249,0.0191236271556,-0.0490349414247,0.353044768676,-0.000121614984455,0.0000541481348845,0.0260669943902,-0.000125236882595,0.0000541481348845,0.326977774286,3.62189814054E-6,0,0.00192778184291,0.0000135366261276,0.0000423416681123,0.0031999999998,3.59021734936E-8,0,0.329999999979,3.70241164153E-6,0,0.0280752346845,3.14988108307E-7,0,0.00249393044162,-0.0000121895638059,0.0000112194292168,0.0323844342143,-0.000320456849885,0.00014385815077,0.00192778126802,0.0000136182516144,0.0000423416681123,0.0029514923337,0.000345465744777,-0.00129273936483,0.00192778126802,0.0000136182516144,0.0000423416681123,0.0032,0,0,0.33,0,0,0.0280752346863,0,0,0.75,1,0.5,
