METADATA,
,Tscript (s),wmax (bool),wmax (rad/s),L (m),wh D (m),ctrlMode,robpCtrlMode,FREQDIVPOSCTRL,feed-forward (bool),
General,0.01,OFF,0,0.195,0.102,cmRobP,pcmTXT,4,ON,
,ri (ohm),ki (Nm/A),vmax (V),imax (A),n:1 (gear),bv (dynamic),fc (static),kc (V / rad/s),ti (s),
Motor,0.6,0.3624,24,6,1,0.001316282616,0.80734166,0.547956859752217,0.208736119092,
Robot,(v):,(vn):,(w):,
kp,1.019649723,1.031417953,0.978734897,
tau (s),0.121202798,0.105652003,0.090826489,
kc,5.31321566904839,4.57866482846397,4.14804307364209,
td (s),0.0744844569896801,0.0473159100918112,0.0127519342197234,
,Filename,Nfuture,Npoly,Nudiv,
pcmTxt,,5,2,0,
DATA,
time (s),time w/ T*4 (s),traj (bool),v_m1 (V),v_m2 (V),v_m3 (V),odo_m1 (tcks/cyc),odo_m2 (tcks/cyc),odo_m3 (tcks/cyc),w_m1 (rad/s),w_m2 (rad/s),w_m3 (rad/s),w_r_m1 (rad/s),w_r_m2 (rad/s),w_r_m3 (rad/s),w_e_m1 (rad/s),w_e_m2 (rad/s),w_e_m3 (rad/s),w_eint_m1 (rad/s),w_eint_m2 (rad/s),w_eint_m3 (rad/s),v_rob (m/s),vn_rob (m/s),w_rob (rad/s),v_r_rob (m/s),vn_r_rob (m/s),w_r_rob (rad/s),v_pd_r_rob (m/s),vn_pd_r_rob (m/s),w_pd_r_rob (rad/s),v_ff_r_rob (m/s),vn_ff_r_rob (m/s),w_ff_r_rob (rad/s),px_loc (m),py_loc (m),pth_loc (rad),px_r_loc (m),py_r_loc (m),pth_r_loc (rad),px_r_1deriv_loc,py_r_1deriv_loc,pth_r_1deriv_loc,px_r_2deriv_loc,py_r_2deriv_loc,pth_r_2deriv_loc,px_e_loc (m),py_e_loc (m),pth_e_loc (rad),px_e_1deriv_loc,py_e_1deriv_loc,pth_e_1deriv_loc,px_gt (m),py_gt (m),pth_gt (rad),px_odo (m),py_odo (m),pth_odo (rad),px (m),py (m),pth (rad),px_r (m),py_r (m),pth_r (rad),px_r_1deriv,py_r_1deriv,pth_r_1deriv,px_r_2deriv,py_r_2deriv,pth_r_2deriv,xvel,i_global,u_ref,
0,0,1,0,0,0,-4,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00062610780759,-0.000819979360681,-0.00689879300483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152549197082,0.000163749835338,0.00166444228932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0.01,0,1,1.1207442167,0.700465135439,0.560372108351,-16,-10,-8,-0.818123086872,-0.511326929295,-0.409061543436,0,0,0,0.818123086872,0.511326929295,0.409061543436,0,0,0,-0.00903357105234,-0.00869255779802,-0.151562546222,0,0,0,-0.00062610780759,-0.000819979360681,-0.00689879300483,0,0,0,1.63808386575E-7,6.95567777917E-8,1.72618841873E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63808266507E-7,6.95570605558E-8,1.72618841873E-6,-0.0000904673446773,-0.0000867885547835,-0.00151562546222,1.63808266507E-7,6.95570605558E-8,1.72618841873E-6,0,0,0,0,0,0,0,0,0,1,0,0,
0.02,0,1,0.280186054176,0.210139540632,0.280186054176,-4,-3,-4,-0.204530771718,-0.153398078789,-0.204530771718,0,0,0,0.204530771718,0.153398078789,0.204530771718,0,0,0,-0.00150559517539,0.000869255779802,-0.0490349414247,0,0,0,-0.00062610780759,-0.000819979360681,-0.00689879300483,0,0,0,6.26052925724E-7,2.11564396298E-7,2.29533238819E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26052440111E-7,2.11565833297E-7,2.29533238819E-6,-0.000105505828948,-0.0000780658127213,-0.00200597487647,6.26052440111E-7,2.11565833297E-7,2.29533238819E-6,0,0,0,0,0,0,0,0,0,1,0,0,
0.03,0.04,1,2.81140652812,-2.54708752944,-0.954137669344,-11,2,13,-0.562459622225,0.102265385859,0.664725008084,2.80195955667,-2.80183456685,0.0000638710272914,3.36441917889,-2.90409995271,-0.664661137056,0.0336441917889,-0.0290409995271,-0.00664661137056,-0.0195727372801,-0.0304239522931,0.0178308877908,0.165002954331,-4.67881021953E-8,0.0000164647912291,0.0242893489212,-4.64170303429E-7,0.0000164647912291,0.140713605409,4.17382201234E-7,0,2.75369673581E-6,5.1257024828E-8,-3.00977876576E-6,0.00159999999999,4.81564602521E-9,0,0.139999999999,4.21369027206E-7,0,0.0287005649716,8.63823510173E-8,0,0.00159724630326,-4.64413788028E-8,3.00977876577E-6,0.0399311575814,-1.16103447007E-6,0.0000752444691443,2.75369689007E-6,5.12487368098E-8,-3.00977876576E-6,-0.00030178892251,-0.000381947103049,-0.00182766599856,2.75369689007E-6,5.12487368098E-8,-3.00977876576E-6,0.0016,0,0,0.14,0,0,0.0287005649718,0,0,1,1,0,
0.04,0.04,1,1.81337677083,-2.24163312719,0.250080231634,26,-11,-4,1.32945001617,-0.562459622225,-0.204530771718,2.80195955667,-2.80183456685,0.0000638710272914,1.4725095405,-2.23937494463,0.204594642745,0.0483692871939,-0.0514347489734,-0.00460066494311,0.0557070214894,0.0199928829354,0.0490349414247,0.165002954331,-4.67881021953E-8,0.0000164647912291,0.0242893489212,-4.64170303429E-7,0.0000164647912291,0.140713605409,4.17382201234E-7,0,9.66636009934E-6,7.05699717481E-7,-3.44435784426E-6,0.00159999999999,4.81564602521E-9,0,0.139999999999,4.21369027206E-7,0,0.0287005649716,8.63823510173E-8,0,0.00159724630326,-4.64413788028E-8,3.00977876577E-6,0.0399311575814,-1.16103447007E-6,0.0000752444691443,9.66636252997E-6,7.05666423073E-7,-3.44435784426E-6,0.000255548156724,-0.000182763433483,-0.00133731658431,9.66636252997E-6,7.05666423073E-7,-3.44435784426E-6,0.0016,0,0,0.14,0,0,0.0287005649718,0,0,1,1,0,
0.05,0.04,1,2.61541276032,-2.62338818783,0.483714177243,0,0,-7,0,0,-0.357928850507,2.80195955667,-2.80183456685,0.0000638710272914,2.80195955667,-2.80183456685,0.357992721534,0.0763888827606,-0.079453094642,-0.00102073772777,0,0.0121695809172,-0.0312040536339,0.165002954331,-4.67881021953E-8,0.0000164647912291,0.0242893489212,-4.64170303429E-7,0.0000164647912291,0.140713605409,4.17382201234E-7,0,0.0000449643878379,4.69872848309E-6,0.0000486237513159,0.00159999999999,4.81564602521E-9,0,0.139999999999,4.21369027206E-7,0,0.0287005649716,8.63823510173E-8,0,0.00159724630326,-4.64413788028E-8,3.00977876577E-6,0.0399311575814,-1.16103447007E-6,0.0000752444691443,0.000044964159315,4.70091481475E-6,0.0000486237513159,0.000255748876481,-0.0000610677903339,-0.00164935712065,0.000044964159315,4.70091481475E-6,0.0000486237513159,0.0016,0,0,0.14,0,0,0.0287005649718,0,0,1,1,0,
0.06,0.04,1,2.74768910009,-2.2565275926,0.947622131973,-2,-15,-13,-0.102265385859,-0.766990393943,-0.664725008084,2.80195955667,-2.80183456685,0.0000638710272914,2.90422494253,-2.03484417291,0.664788879111,0.105431132186,-0.0998015363711,0.00562715106334,0.0195727372801,0.00782330201822,-0.133731658431,0.165002954331,-4.67881021953E-8,0.0000164647912291,0.0242893489212,-4.64170303429E-7,0.0000164647912291,0.140713605409,4.17382201234E-7,0,0.000129576110901,4.81580438957E-6,0.0000951783437667,0.00159999999999,4.81564602521E-9,0,0.139999999999,4.21369027206E-7,0,0.0287005649716,8.63823510173E-8,0,0.00159724630326,-4.64413788028E-8,3.00977876577E-6,0.0399311575814,-1.16103447007E-6,0.0000752444691443,0.000129575651954,4.82813720737E-6,0.0000951783437667,0.000451709017871,0.0000165803022059,-0.00298667370496,0.000129575651954,4.82813720737E-6,0.0000951783437667,0.0016,0,0,0.14,0,0,0.0287005649718,0,0,1,1,0,
0.07,0.08,1,3.13142974669,-3.6194731823,-0.405313413764,10,7,6,0.511326929295,0.357928850507,0.306796157577,3.95107437826,-3.95749736881,-0.00127467178448,3.43974744897,-4.31542621932,-0.308070829362,0.139828606676,-0.142955798564,0.00254644276972,0.00451678552617,0.00434627889901,0.102527604797,0.232866817381,-0.0000658519986375,-0.000671078254596,0.0529240553955,-0.0000442118086726,-0.000671078254596,0.179942761986,-0.0000216401899649,0,0.000280579879739,3.86332480289E-6,0.000121946147671,0.00479999996431,-5.85341507372E-7,0,0.179999998662,-0.0000219503065265,0,0.0287005647584,-3.49992332562E-6,0,0.00451942008457,-4.44866631026E-6,-0.000121946147671,0.0730543445328,-0.000110055623286,-0.00312389816093,0.000280579406535,3.89754040953E-6,0.000121946147671,0.000496962032027,0.0000599544136251,-0.00196139765699,0.000280579406535,3.89754040953E-6,0.000121946147671,0.0048,0,0,0.18,0,0,0.0287005649718,0,0,1,2,0,
0.08,0.08,1,3.16300555599,-3.1161813289,-0.719140569792,12,-14,10,0.613592315154,-0.715857701013,0.511326929295,3.95107437826,-3.95749736881,-0.00127467178448,3.33748206311,-3.2416396678,-0.51260160108,0.173203427307,-0.175372195242,-0.00257957324107,0.0391454745601,-0.0191236271556,0.0356617755816,0.232866817381,-0.0000658519986375,-0.000671078254596,0.0529240553955,-0.0000442118086726,-0.000671078254596,0.179942761986,-0.0000216401899649,0,0.000509040295763,0.0000109352545698,0.000183868925907,0.00479999996431,-5.85341507372E-7,0,0.179999998662,-0.0000219503065265,0,0.0287005647584,-3.49992332562E-6,0,0.00451942008457,-4.44866631026E-6,-0.000121946147671,0.0730543445328,-0.000110055623286,-0.00312389816093,0.000509038276505,0.0000110288510768,0.000183868925907,0.000888109379502,-0.000131909809106,-0.00160477990117,0.000509038276505,0.0000110288510768,0.000183868925907,0.0048,0,0,0.18,0,0,0.0287005649718,0,0,1,2,0,
0.09,0.08,1,3.10381436914,-3.17191737914,-0.238965863599,17,-15,3,0.869255779802,-0.766990393943,0.153398078789,3.95107437826,-3.95749736881,-0.00127467178448,3.08181859846,-3.19050697487,-0.154672750573,0.204021613291,-0.207277264991,-0.0041263007468,0.0481790456125,-0.00347702311921,0.0222886097385,0.232866817381,-0.0000658519986375,-0.000671078254596,0.0529240553955,-0.0000442118086726,-0.000671078254596,0.179942761986,-0.0000216401899649,0,0.000844419011281,0.0000162975900404,0.000195977037963,0.00479999996431,-5.85341507372E-7,0,0.179999998662,-0.0000219503065265,0,0.0287005647584,-3.49992332562E-6,0,0.00451942008457,-4.44866631026E-6,-0.000121946147671,0.0730543445328,-0.000110055623286,-0.00312389816093,0.000844415801112,0.000016463076463,0.000195977037963,0.00136985132586,-0.00016734579006,-0.00138189380379,0.000844415801112,0.000016463076463,0.000195977037963,0.0048,0,0,0.18,0,0,0.0287005649718,0,0,1,2,0,
