METADATA,
,Tscript (s),wmax (bool),wmax (rad/s),L (m),wh D (m),ctrlMode,robpCtrlMode,FREQDIVPOSCTRL,feed-forward (bool),
General,0.01,OFF,0,0.195,0.102,cmRobP,pcmTXT,4,ON,
,ri (ohm),ki (Nm/A),vmax (V),imax (A),n:1 (gear),bv (dynamic),fc (static),kc (V / rad/s),ti (s),
Motor,0.6,0.3624,24,6,1,0.001316282616,0.80734166,0.547956859752217,0.208736119092,
Robot,(v):,(vn):,(w):,
kp,1.019649723,1.031417953,0.978734897,
tau (s),0.121202798,0.105652003,0.090826489,
kc,5.31321566904839,4.57866482846397,4.14804307364209,
td (s),0.0744844569896801,0.0473159100918112,0.0127519342197234,
,Filename,Nfuture,Npoly,Nudiv,
pcmTxt,0,8,2,0,
DATA,
time (s),time w/ T*4 (s),traj (bool),v_m1 (V),v_m2 (V),v_m3 (V),odo_m1 (tcks/cyc),odo_m2 (tcks/cyc),odo_m3 (tcks/cyc),w_m1 (rad/s),w_m2 (rad/s),w_m3 (rad/s),w_r_m1 (rad/s),w_r_m2 (rad/s),w_r_m3 (rad/s),w_e_m1 (rad/s),w_e_m2 (rad/s),w_e_m3 (rad/s),w_eint_m1 (rad/s),w_eint_m2 (rad/s),w_eint_m3 (rad/s),v_rob (m/s),vn_rob (m/s),w_rob (rad/s),v_r_rob (m/s),vn_r_rob (m/s),w_r_rob (rad/s),v_pd_r_rob (m/s),vn_pd_r_rob (m/s),w_pd_r_rob (rad/s),v_ff_r_rob (m/s),vn_ff_r_rob (m/s),w_ff_r_rob (rad/s),px_loc (m),py_loc (m),pth_loc (rad),px_r_loc (m),py_r_loc (m),pth_r_loc (rad),px_r_1deriv_loc,py_r_1deriv_loc,pth_r_1deriv_loc,px_r_2deriv_loc,py_r_2deriv_loc,pth_r_2deriv_loc,px_e_loc (m),py_e_loc (m),pth_e_loc (rad),px_e_1deriv_loc,py_e_1deriv_loc,pth_e_1deriv_loc,px_gt (m),py_gt (m),pth_gt (rad),px_odo (m),py_odo (m),pth_odo (rad),px (m),py (m),pth (rad),px_r (m),py_r (m),pth_r (rad),px_r_1deriv,py_r_1deriv,pth_r_1deriv,px_r_2deriv,py_r_2deriv,pth_r_2deriv,xvel,i_global,u_ref,
0,0,1,0,0,0,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129291110793,-0.00170471567872,0.00422773074675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000327713118168,0.000296182406601,-0.00103008364612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.01,0,1,-0.980651189615,0.770511648983,-1.1207442167,14,-11,16,0.715857701013,-0.562459622225,0.818123086872,0,0,0,-0.715857701013,0.562459622225,-0.818123086872,0,0,0,0.0376398793847,-0.0252084176143,0.0846967170063,0,0,0,0.00129291110793,-0.00170471567872,0.00422773074675,0,0,0,-1.62445477838E-7,3.80862069876E-8,-8.48020704325E-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6244544554E-7,3.80863447447E-8,-8.48020704325E-7,0.000376612154581,-0.000251765280818,0.000846967170064,-1.6244544554E-7,3.80863447447E-8,-8.48020704325E-7,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.02,0,1,0.420279081264,0,0.490325594807,-6,0,-7,-0.306796157577,0,-0.357928850507,0,0,0,0.306796157577,0,0.357928850507,0,0,0,-0.00903357105234,0.00695404623841,-0.0579503853201,0,0,0,0.00129291110793,-0.00170471567872,0.00422773074675,0,0,0,2.23272504081E-7,-7.38229906966E-8,-1.48638821429E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23272394351E-7,-7.38233225661E-8,-1.48638821429E-6,0.00028625784903,-0.000182248983382,0.000267463316862,2.23272394351E-7,-7.38233225661E-8,-1.48638821429E-6,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.03,0.04,1,2.32727648639,-2.3601977042,0.398881212768,-6,2,-8,-0.306796157577,0.102265385859,-0.409061543436,2.21449646857,-2.4763604989,-0.131197196448,2.52129262615,-2.57862588476,0.277864346988,0.0252129262615,-0.0257862588476,0.00277864346988,-0.0120447614031,0.0104310693576,-0.0534926633724,0.138121644178,9.01616365913E-6,-0.0342668761805,0.0182080816231,8.90374224726E-6,-0.0017133867989,0.119913562555,1.12421411862E-7,-0.0325534893816,2.65250599106E-6,-8.89700552396E-7,-9.50604942135E-7,0.0012,1.14072593056E-9,-0.000314159265359,0.12,1.14072593056E-7,-0.0314159265359,0.0187275449102,1.78024967457E-8,-0.00490285979247,0.00119734749401,8.90841278326E-7,-0.000313208660417,0.0299336873502,0.0000222710319582,-0.00783021651042,2.65250514531E-6,-8.89703073881E-7,-9.50604942135E-7,0.000165838140027,-0.0000779060794628,-0.000267463316862,2.65250514531E-6,-8.89703073881E-7,-9.50604942135E-7,0.0012,0,-0.000314159265359,0.12,0,-0.0314159265359,0.0187275449102,0,-0.00490285979247,0.75,0,0.75,
0.04,0.04,1,1.80624731945,-1.72323039005,-1.12433048448,14,-22,13,0.715857701013,-1.12491924445,0.664725008084,2.21449646857,-2.4763604989,-0.131197196448,1.49863876755,-1.35144125445,-0.795922204532,0.040199313937,-0.039300671392,-0.00518057857544,0.054201426314,-0.0295546965133,0.0222886097385,0.138121644178,9.01616365913E-6,-0.0342668761805,0.0182080816231,8.90374224726E-6,-0.0017133867989,0.119913562555,1.12421411862E-7,-0.0325534893816,6.28805289099E-6,-2.95121660021E-6,-1.16173441711E-6,0.0012,1.14072593056E-9,-0.000314159265359,0.12,1.14072593056E-7,-0.0314159265359,0.0187275449102,1.78024967457E-8,-0.00490285979247,0.00119734749401,8.90841278326E-7,-0.000313208660417,0.0299336873502,0.0000222710319582,-0.00783021651042,6.28804946246E-6,-2.95122390526E-6,-1.16173441711E-6,0.000707839226845,-0.000373477205179,-0.0000445772194766,6.28804946246E-6,-2.95122390526E-6,-1.16173441711E-6,0.0012,0,-0.000314159265359,0.12,0,-0.0314159265359,0.0187275449102,0,-0.00490285979247,0.75,0,0.75,
0.05,0.04,1,2.0217531685,-2.2872017693,-0.148933781224,8,-4,-1,0.409061543436,-0.204530771718,-0.0511326929295,2.21449646857,-2.4763604989,-0.131197196448,1.80543492513,-2.27182972718,-0.0800645035187,0.0582536631883,-0.0620189686638,-0.00598122361063,0.0180671421047,0.00521553467881,0.0133731658431,0.138121644178,9.01616365913E-6,-0.0342668761805,0.0182080816231,8.90374224726E-6,-0.0017133867989,0.119913562555,1.12421411862E-7,-0.0325534893816,0.0000240329078223,-3.56424558002E-6,8.77820457367E-6,0.0012,1.14072593056E-9,-0.000314159265359,0.12,1.14072593056E-7,-0.0314159265359,0.0187275449102,1.78024967457E-8,-0.00490285979247,0.00119734749401,8.90841278326E-7,-0.000313208660417,0.0299336873502,0.0000222710319582,-0.00783021651042,0.000024032939109,-3.5640346141E-6,8.77820457367E-6,0.000888505997158,-0.000321305750978,0.000089154438955,0.000024032939109,-3.5640346141E-6,8.77820457367E-6,0.0012,0,-0.000314159265359,0.12,0,-0.0314159265359,0.0187275449102,0,-0.00490285979247,0.75,0,0.75,
0.06,0.04,1,2.24531277747,-2.55236559347,-1.40202665855,2,3,16,0.102265385859,0.153398078789,0.818123086872,2.21449646857,-2.4763604989,-0.131197196448,2.11223108271,-2.62975857768,-0.949320283321,0.0793759740154,-0.0883165544407,-0.0154744264438,-0.00150559517539,-0.0234699060547,0.0936121609017,0.138121644178,9.01616365913E-6,-0.0342668761805,0.0182080816231,8.90374224726E-6,-0.0017133867989,0.119913562555,1.12421411862E-7,-0.0325534893816,0.0000719636138136,-2.83988984206E-6,0.0000185264525477,0.0012,1.14072593056E-9,-0.000314159265359,0.12,1.14072593056E-7,-0.0314159265359,0.0187275449102,1.78024967457E-8,-0.00490285979247,0.00119734749401,8.90841278326E-7,-0.000313208660417,0.0299336873502,0.0000222710319582,-0.00783021651042,0.0000719636664144,-2.8385566111E-6,0.0000185264525477,0.000873690685142,-0.000556020116101,0.00102527604797,0.0000719636664144,-2.8385566111E-6,0.0000185264525477,0.0012,0,-0.000314159265359,0.12,0,-0.0314159265359,0.0187275449102,0,-0.00490285979247,0.75,0,0.75,
0.07,0.08,1,2.78054772975,-3.20541761977,-0.127104006803,0,7,-3,0,0.357928850507,-0.153398078789,2.94779306118,-3.28891366665,-0.171195182762,2.94779306118,-3.64684251715,-0.017797103973,0.108853904627,-0.124784979612,-0.0156523974836,-0.0105391662277,0.0113003251374,0.0178308877908,0.183638979717,0.0000215859209701,-0.0446634276916,0.0343035487442,0.0000193394204753,-0.00408531217475,0.149335430972,2.2465004948E-6,-0.0405781155169,0.000165225319262,-2.36890994952E-6,-0.0000152460997912,0.00319999999963,4.87875193301E-8,-0.000837758040957,0.149999999983,2.2869149686E-6,-0.0392699081699,0.018727544908,2.85522018534E-7,-0.00490285979247,0.00303477468037,2.41769746885E-6,-0.000822511941166,0.0459356796589,0.0000381714047632,-0.0127325820187,0.000165225283126,-2.37142899095E-6,-0.0000152460997912,0.000768163090363,-0.000443143794511,0.00120358492588,0.000165225283126,-2.37142899095E-6,-0.0000152460997912,0.0032,0,-0.000837758040957,0.15,0,-0.0392699081699,0.0187275449102,0,-0.00490285979247,0.75,1,0.5,
0.08,0.08,1,2.56432273248,-2.74329626427,-0.421881031228,10,-12,1,0.511326929295,-0.613592315154,0.0511326929295,2.94779306118,-3.28891366665,-0.171195182762,2.43646613189,-2.67532135149,-0.222327875691,0.133218565946,-0.151538193127,-0.0178756762405,0.0331230938586,-0.00347702311921,-0.0044577219477,0.183638979717,0.0000215859209701,-0.0446634276916,0.0343035487442,0.0000193394204753,-0.00408531217475,0.149335430972,2.2465004948E-6,-0.0405781155169,0.000321750778839,-4.11918901147E-6,-0.000116618042079,0.00319999999963,4.87875193301E-8,-0.000837758040957,0.149999999983,2.2869149686E-6,-0.0392699081699,0.018727544908,2.85522018534E-7,-0.00490285979247,0.00303477468037,2.41769746885E-6,-0.000822511941166,0.0459356796589,0.0000381714047632,-0.0127325820187,0.00032175029628,-4.15671092924E-6,-0.000116618042079,0.00109943410541,-0.000477530103222,0.0011590077064,0.00032175029628,-4.15671092924E-6,-0.000116618042079,0.0032,0,-0.000837758040957,0.15,0,-0.0392699081699,0.0187275449102,0,-0.00490285979247,0.75,1,0.5,
0.09,0.08,1,2.6282828337,-2.75480498956,-0.0694607100148,10,-14,-4,0.511326929295,-0.715857701013,-0.204530771718,2.94779306118,-3.28891366665,-0.171195182762,2.43646613189,-2.57305596563,0.0333355889565,0.157583227265,-0.177268752783,-0.0175423203509,0.0361342842094,0.00347702311921,-0.0356617755816,0.183638979717,0.0000215859209701,-0.0446634276916,0.0343035487442,0.0000193394204753,-0.00408531217475,0.149335430972,2.2465004948E-6,-0.0405781155169,0.00056574155447,-0.0000118422324603,-0.000277823576761,0.00319999999963,4.87875193301E-8,-0.000837758040957,0.149999999983,2.2869149686E-6,-0.0392699081699,0.018727544908,2.85522018534E-7,-0.00490285979247,0.00303477468037,2.41769746885E-6,-0.000822511941166,0.0459356796589,0.0000381714047632,-0.0127325820187,0.000565738242585,-0.0000119994083434,-0.000277823576761,0.00146074892998,-0.000442469945575,0.000802389950588,0.000565738242585,-0.0000119994083434,-0.000277823576761,0.0032,0,-0.000837758040957,0.15,0,-0.0392699081699,0.0187275449102,0,-0.00490285979247,0.75,1,0.5,
