METADATA,
,Tscript (s),wmax (bool),wmax (rad/s),L (m),wh D (m),ctrlMode,robpCtrlMode,FREQDIVPOSCTRL,feed-forward (bool),
General,0.01,OFF,0,0.195,0.102,cmRobP,pcmTXT,4,ON,
,ri (ohm),ki (Nm/A),vmax (V),imax (A),n:1 (gear),bv (dynamic),fc (static),kc (V / rad/s),ti (s),
Motor,0.6,0.3624,24,6,1,0.001316282616,0.80734166,0.547956859752217,0.208736119092,
Robot,(v):,(vn):,(w):,
kp,1.019649723,1.031417953,0.978734897,
tau (s),0.121202798,0.105652003,0.090826489,
kc,5.31321566904839,4.57866482846397,4.14804307364209,
td (s),0.0744844569896801,0.0473159100918112,0.0127519342197234,
,Filename,Nfuture,Npoly,Nudiv,
pcmTxt,0,16,2,0,
DATA,
time (s),time w/ T*4 (s),traj (bool),v_m1 (V),v_m2 (V),v_m3 (V),odo_m1 (tcks/cyc),odo_m2 (tcks/cyc),odo_m3 (tcks/cyc),w_m1 (rad/s),w_m2 (rad/s),w_m3 (rad/s),w_r_m1 (rad/s),w_r_m2 (rad/s),w_r_m3 (rad/s),w_e_m1 (rad/s),w_e_m2 (rad/s),w_e_m3 (rad/s),w_eint_m1 (rad/s),w_eint_m2 (rad/s),w_eint_m3 (rad/s),v_rob (m/s),vn_rob (m/s),w_rob (rad/s),v_r_rob (m/s),vn_r_rob (m/s),w_r_rob (rad/s),v_pd_r_rob (m/s),vn_pd_r_rob (m/s),w_pd_r_rob (rad/s),v_ff_r_rob (m/s),vn_ff_r_rob (m/s),w_ff_r_rob (rad/s),px_loc (m),py_loc (m),pth_loc (rad),px_r_loc (m),py_r_loc (m),pth_r_loc (rad),px_r_1deriv_loc,py_r_1deriv_loc,pth_r_1deriv_loc,px_r_2deriv_loc,py_r_2deriv_loc,pth_r_2deriv_loc,px_e_loc (m),py_e_loc (m),pth_e_loc (rad),px_e_1deriv_loc,py_e_1deriv_loc,pth_e_1deriv_loc,px_gt (m),py_gt (m),pth_gt (rad),px_odo (m),py_odo (m),pth_odo (rad),px (m),py (m),pth (rad),px_r (m),py_r (m),pth_r (rad),px_r_1deriv,py_r_1deriv,pth_r_1deriv,px_r_2deriv,py_r_2deriv,pth_r_2deriv,xvel,i_global,u_ref,
0,0,1,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000262535632777,0.000919060519094,-0.00533147735517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000956991498242,-0.000222513001063,0.00127703372746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0.01,0,1,0.630418621895,0.700465135439,1.19079073025,-9,-10,-17,-0.460194236366,-0.511326929295,-0.869255779802,0,0,0,0.460194236366,0.511326929295,0.869255779802,0,0,0,0.00150559517539,0.013038836697,-0.160477990117,0,0,0,-0.000262535632777,0.000919060519094,-0.00533147735517,0,0,0,-3.1124966983E-8,-4.17206644392E-8,1.47800278682E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.11249053198E-8,-4.1720710442E-8,1.47800278682E-6,0.0000152651752698,0.000130364023607,-0.00160477990117,-3.11249053198E-8,-4.1720710442E-8,1.47800278682E-6,0,0,0,0,0,0,0,0,0,1,0,0,
0.02,0,1,-0.770511648983,-0.770511648983,0.490325594807,11,11,-7,0.562459622225,0.562459622225,-0.357928850507,0,0,0,-0.562459622225,-0.562459622225,0.357928850507,0,0,0,0,0.0312932080729,0.0668658292155,0,0,0,-0.000262535632777,0.000919060519094,-0.00533147735517,0,0,0,-1.31476941169E-7,-4.38065765416E-8,1.69933821326E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.31476866727E-7,-4.38067999653E-8,1.69933821326E-6,0.0000155581177045,0.000443295961391,-0.000936121609017,-1.31476866727E-7,-4.38067999653E-8,1.69933821326E-6,0,0,0,0,0,0,0,0,0,1,0,0,
0.03,0.04,1,5.30651105087,-4.71915391372,0.440255023505,-24,4,-6,-1.22718463031,0.204530771718,-0.306796157577,6.48253166642,-6.48228598235,-0.000110430852748,7.70971629673,-6.68681675407,0.306685726724,0.0770971629673,-0.0668681675407,0.00306685726724,-0.0421566649109,-0.00695404623841,-0.11590077064,0.381747288935,7.93127814753E-6,0.0000117913059352,0.0243141595459,7.1708302324E-6,0.0000117913059352,0.357433129389,7.60447915127E-7,0,1.12217179974E-6,-7.14010437155E-7,-2.15546141704E-6,0.0016,3.44873826726E-9,0,0.359999999999,7.75966110133E-7,0,0.0367697070303,7.92556848197E-8,0,0.0015988778282,7.17459175422E-7,2.15546141646E-6,0.0399719457049,0.0000179364793856,0.0000538865354116,1.12217026071E-6,-7.14012855951E-7,-2.15546141704E-6,-0.000406153278709,0.000374638891475,-0.00209512931542,1.12217026071E-6,-7.14012855951E-7,-2.15546141704E-6,0.0016,0,0,0.36,0,0,0.0367697070304,0,0,1,1,0,
0.04,0.04,1,3.89405599589,-3.74961939353,0.533784502914,31,-35,-7,1.58511348082,-1.78964425253,-0.357928850507,6.48253166642,-6.48228598235,-0.000110430852748,4.89741818561,-4.69264172982,0.357818419654,0.126071344823,-0.113794584839,0.00664504146378,0.0993692815757,0.00869255779802,-0.0490349414247,0.381747288935,7.93127814753E-6,0.0000117913059352,0.0243141595459,7.1708302324E-6,0.0000117913059352,0.357433129389,7.60447915127E-7,0,0.0000114260151971,-2.70489697049E-6,-0.0000237267358853,0.0016,3.44873826726E-9,0,0.359999999999,7.75966110133E-7,0,0.0367697070303,7.92556848197E-8,0,0.0015988778282,7.17459175422E-7,2.15546141646E-6,0.0399719457049,0.0000179364793856,0.0000538865354116,0.0000114259510156,-2.70516807177E-6,-0.0000237267358853,0.000587760949806,0.000458995009298,-0.00258547872967,0.0000114259510156,-2.70516807177E-6,-0.0000237267358853,0.0016,0,0,0.36,0,0,0.0367697070304,0,0,1,1,0,
0.05,0.04,1,4.96216468399,-4.90043486836,-1.65489108056,-1,0,27,-0.0511326929295,0,1.3805827091,6.48253166642,-6.48228598235,-0.000110430852748,6.53366435935,-6.48228598235,-1.38069313995,0.191407988417,-0.178617444662,-0.00716188993572,-0.00150559517539,-0.0478090678891,0.11590077064,0.381747288935,7.93127814753E-6,0.0000117913059352,0.0243141595459,7.1708302324E-6,0.0000117913059352,0.357433129389,7.60447915127E-7,0,0.000105504512732,-0.0000143382083661,-0.000159153727984,0.0016,3.44873826726E-9,0,0.359999999999,7.75966110133E-7,0,0.0367697070303,7.92556848197E-8,0,0.0015988778282,7.17459175422E-7,2.15546141646E-6,0.0399719457049,0.0000179364793856,0.0000538865354116,0.000105502229417,-0.000014354999621,-0.000159153727984,0.000572023031982,-0.0000190736795494,-0.00142647102326,0.000105502229417,-0.000014354999621,-0.000159153727984,0.0016,0,0,0.36,0,0,0.0367697070304,0,0,1,1,0,
0.06,0.04,1,4.66390820623,-4.68891205729,0.173046080029,15,-13,-3,0.766990393943,-0.664725008084,-0.153398078789,6.48253166642,-6.48228598235,-0.000110430852748,5.71554127248,-5.81756097427,0.153287647936,0.248563401142,-0.236793054405,-0.00562901345636,0.0421566649109,0.00695404623841,-0.0044577219477,0.381747288935,7.93127814753E-6,0.0000117913059352,0.0243141595459,7.1708302324E-6,0.0000117913059352,0.357433129389,7.60447915127E-7,0,0.00034812501565,-0.0000270278269922,-0.000313212086493,0.0016,3.44873826726E-9,0,0.359999999999,7.75966110133E-7,0,0.0367697070303,7.92556848197E-8,0,0.0015988778282,7.17459175422E-7,2.15546141646E-6,0.0399719457049,0.0000179364793856,0.0000538865354116,0.000348116533132,-0.0000271368626272,-0.000313212086493,0.000993691522263,0.0000498465629323,-0.00147104824274,0.000348116533132,-0.0000271368626272,-0.000313212086493,0.0016,0,0,0.36,0,0,0.0367697070304,0,0,1,1,0,
0.07,0.08,1,5.32715163771,-5.16145938726,0.400810802174,18,-22,-6,0.920388472731,-1.12491924445,-0.306796157577,7.52968900965,-7.49947262059,-0.00185337481247,6.60930053692,-6.37455337614,0.304942782765,0.314656406511,-0.300538588167,-0.00257958562871,0.0602238070156,0.00695404623841,-0.044577219477,0.442531616159,0.00057669335764,0.00247267303694,0.0458693694697,0.000399491536406,0.00247267303694,0.396662246689,0.000177201821234,0,0.000743427906753,-0.0000381867617187,-0.000452527921432,0.00479999950852,2.17213394874E-6,0,0.399999959044,0.000181011162395,0,0.0367697032655,0.0000166393185262,0,0.00405657160177,0.0000403588956675,0.000452527921432,0.0614423443394,0.000991035912302,0.0112593115004,0.000743410550058,-0.0000385231796827,-0.000452527921432,0.00159606177756,0.000118232515463,-0.00191682043751,0.000743410550058,-0.0000385231796827,-0.000452527921432,0.0048,0,0,0.4,0,0,0.0367697070304,0,0,1,2,0,
0.08,0.08,1,5.26576712391,-5.09391248443,0.0538123456168,26,-30,-1,1.32945001617,-1.53398078789,-0.0511326929295,7.52968900965,-7.49947262059,-0.00185337481247,6.20023899349,-5.96549183271,0.049279318117,0.376658796446,-0.360193506494,-0.00208679244754,0.0843133298218,-0.0017385115596,-0.0222886097385,0.442531616159,0.00057669335764,0.00247267303694,0.0458693694697,0.000399491536406,0.00247267303694,0.396662246689,0.000177201821234,0,0.00129132165053,-0.0000513344021668,-0.000584231621322,0.00479999950852,2.17213394874E-6,0,0.399999959044,0.000181011162395,0,0.0367697032655,0.0000166393185262,0,0.00405657160177,0.0000403588956675,0.000452527921432,0.0614423443394,0.000991035912302,0.0112593115004,0.00129129143897,-0.0000520888243045,-0.000584231621322,0.00243915594494,0.000099043383253,-0.0021397065349,0.00129129143897,-0.0000520888243045,-0.000584231621322,0.0048,0,0,0.4,0,0,0.0367697070304,0,0,1,2,0,
0.09,0.08,1,5.01747944453,-5.13307044771,0.203850973364,40,-34,-3,2.04530771718,-1.7385115596,-0.153398078789,7.52968900965,-7.49947262059,-0.00185337481247,5.48438129247,-5.76096106099,0.151544703976,0.43150260937,-0.417803117104,-0.000571345407779,0.111414042979,0.0104310693576,0.0133731658431,0.442531616159,0.00057669335764,0.00247267303694,0.0458693694697,0.000399491536406,0.00247267303694,0.396662246689,0.000177201821234,0,0.00200100554415,-0.0000702116057123,-0.000707074284636,0.00479999950852,2.17213394874E-6,0,0.399999959044,0.000181011162395,0,0.0367697032655,0.0000166393185262,0,0.00405657160177,0.0000403588956675,0.000452527921432,0.0614423443394,0.000991035912302,0.0112593115004,0.00200095539913,-0.0000716264476068,-0.000707074284636,0.00355350337677,0.000201118930671,-0.00200597487647,0.00200095539913,-0.0000716264476068,-0.000707074284636,0.0048,0,0,0.4,0,0,0.0367697070304,0,0,1,2,0,
