METADATA,
,Tscript (s),wmax (bool),wmax (rad/s),L (m),wh D (m),ctrlMode,robpCtrlMode,FREQDIVPOSCTRL,feed-forward (bool),
General,0.01,OFF,0,0.195,0.102,cmRobP,pcmTXT,4,ON,
,ri (ohm),ki (Nm/A),vmax (V),imax (A),n:1 (gear),bv (dynamic),fc (static),kc (V / rad/s),ti (s),
Motor,0.6,0.3624,24,6,1,0.001316282616,0.80734166,0.547956859752217,0.208736119092,
Robot,(v):,(vn):,(w):,
kp,1.019649723,1.031417953,0.978734897,
tau (s),0.121202798,0.105652003,0.090826489,
kc,5.31321566904839,4.57866482846397,4.14804307364209,
td (s),0.0744844569896801,0.0473159100918112,0.0127519342197234,
,Filename,Nfuture,Npoly,Nudiv,
pcmTxt,,4,2,0,
DATA,
time (s),time w/ T*4 (s),traj (bool),v_m1 (V),v_m2 (V),v_m3 (V),odo_m1 (tcks/cyc),odo_m2 (tcks/cyc),odo_m3 (tcks/cyc),w_m1 (rad/s),w_m2 (rad/s),w_m3 (rad/s),w_r_m1 (rad/s),w_r_m2 (rad/s),w_r_m3 (rad/s),w_e_m1 (rad/s),w_e_m2 (rad/s),w_e_m3 (rad/s),w_eint_m1 (rad/s),w_eint_m2 (rad/s),w_eint_m3 (rad/s),v_rob (m/s),vn_rob (m/s),w_rob (rad/s),v_r_rob (m/s),vn_r_rob (m/s),w_r_rob (rad/s),v_pd_r_rob (m/s),vn_pd_r_rob (m/s),w_pd_r_rob (rad/s),v_ff_r_rob (m/s),vn_ff_r_rob (m/s),w_ff_r_rob (rad/s),px_loc (m),py_loc (m),pth_loc (rad),px_r_loc (m),py_r_loc (m),pth_r_loc (rad),px_r_1deriv_loc,py_r_1deriv_loc,pth_r_1deriv_loc,px_r_2deriv_loc,py_r_2deriv_loc,pth_r_2deriv_loc,px_e_loc (m),py_e_loc (m),pth_e_loc (rad),px_e_1deriv_loc,py_e_1deriv_loc,pth_e_1deriv_loc,px_gt (m),py_gt (m),pth_gt (rad),px_odo (m),py_odo (m),pth_odo (rad),px (m),py (m),pth (rad),px_r (m),py_r (m),pth_r (rad),px_r_1deriv,py_r_1deriv,pth_r_1deriv,px_r_2deriv,py_r_2deriv,pth_r_2deriv,xvel,i_global,u_ref,
0,0,1,0,0,0,4,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00180774459325,-0.000500247383258,0.000635500519611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000309076043777,0.000143361641676,-0.000152464765689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0.01,0,1,-0.420279081264,1.19079073025,-0.420279081264,6,-17,6,0.306796157577,-0.869255779802,0.306796157577,0,0,0,-0.306796157577,0.869255779802,-0.306796157577,0,0,0,0.034628689034,-0.0199928829354,-0.0222886097385,0,0,0,0.00180774459325,-0.000500247383258,0.000635500519611,0,0,0,-2.14743707125E-7,5.44275677661E-8,-2.58592706359E-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1474369305E-7,5.44276232972E-8,-2.58592706359E-7,0.000346242319665,-0.000200006006507,-0.000222886097385,-2.1474369305E-7,5.44276232972E-8,-2.58592706359E-7,0,0,0,0,0,0,0,0,0,1,0,0,
0.02,0,1,0.280186054176,-0.280186054176,-0.210139540632,-4,4,3,-0.204530771718,0.204530771718,0.153398078789,0,0,0,0.204530771718,-0.204530771718,-0.153398078789,0,0,0,-0.0120447614031,-0.00521553467881,0.0133731658431,0,0,0,0.00180774459325,-0.000500247383258,0.000635500519611,0,0,0,2.34221086736E-7,2.36074103131E-7,-7.38400444788E-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34221261053E-7,2.36073930182E-7,-7.38400444788E-7,0.000225790056322,-0.00025215061461,-0.0000891544389541,2.34221261053E-7,2.36073930182E-7,-7.38400444788E-7,0,0,0,0,0,0,0,0,0,1,0,0,
0.03,0.04,1,2.58681222048,-2.55742367886,-0.513690896166,-10,9,7,-0.511326929295,0.460194236366,0.357928850507,2.46195472859,-2.46190642128,0.000087014772325,2.97328165789,-2.92210065764,-0.357841835734,0.0297328165789,-0.0292210065764,-0.00357841835734,-0.0286063083324,-0.013038836697,0.0267463316862,0.144982420577,-2.13727795492E-6,0.0000117973099162,0.0242868816372,-2.39377236723E-6,0.0000117973099162,0.12069553894,2.56494412305E-7,0,2.91594317234E-6,2.42953298469E-7,-2.15655894984E-6,0.0016,3.45049431973E-9,0,0.12,2.5878707398E-7,0,0.0253061224489,5.45741448529E-8,0,0.00159708405682,-2.39502804149E-7,2.15655894964E-6,0.0399271014206,-5.98757010373E-6,0.000053913973741,2.91594369628E-6,2.42947010065E-7,-2.15655894984E-6,-0.0000602497721987,-0.000382589986706,0.000178308877908,2.91594369628E-6,2.42947010065E-7,-2.15655894984E-6,0.0016,0,0,0.12,0,0,0.025306122449,0,0,1,1,0,
0.04,0.04,1,1.72531865913,-1.92947298142,1.69228868431,22,-15,-28,1.12491924445,-0.766990393943,-1.43171540203,2.46195472859,-2.46190642128,0.000087014772325,1.33703548414,-1.69491602734,1.4318024168,0.0431031714203,-0.0461701668498,0.0107396058106,0.0557070214894,0.0547631141275,-0.0936121609017,0.144982420577,-2.13727795492E-6,0.0000117973099162,0.0242868816372,-2.39377236723E-6,0.0000117973099162,0.12069553894,2.56494412305E-7,0,0.0000106442977548,-5.34503003407E-7,-1.95839845978E-6,0.0016,3.45049431973E-9,0,0.12,2.5878707398E-7,0,0.0253061224489,5.45741448529E-8,0,0.00159708405682,-2.39502804149E-7,2.15655894964E-6,0.0399271014206,-5.98757010373E-6,0.000053913973741,0.0000106442967081,-5.34523849183E-7,-1.95839845978E-6,0.000497235264194,0.000164618822482,-0.000757812731109,0.0000106442967081,-5.34523849183E-7,-1.95839845978E-6,0.0016,0,0,0.12,0,0,0.025306122449,0,0,1,1,0,
0.05,0.04,1,2.43571588582,-1.915244914,-0.957024643257,-1,-17,14,-0.0511326929295,-0.869255779802,0.715857701013,2.46195472859,-2.46190642128,0.000087014772325,2.51308742152,-1.59265064148,-0.715770686241,0.0682340456355,-0.0620966732646,0.00358189894824,0.0240895228062,-0.0399857658709,-0.0178308877908,0.144982420577,-2.13727795492E-6,0.0000117973099162,0.0242868816372,-2.39377236723E-6,0.0000117973099162,0.12069553894,2.56494412305E-7,0,0.0000422118271132,-2.32744331831E-6,5.18162096337E-6,0.0016,3.45049431973E-9,0,0.12,2.5878707398E-7,0,0.0253061224489,5.45741448529E-8,0,0.00159708405682,-2.39502804149E-7,2.15655894964E-6,0.0399271014206,-5.98757010373E-6,0.000053913973741,0.0000422118391725,-2.32722459259E-6,5.18162096337E-6,0.000737756071046,-0.00023546416769,-0.000936121609017,0.0000422118391725,-2.32722459259E-6,5.18162096337E-6,0.0016,0,0,0.12,0,0,0.025306122449,0,0,1,1,0,
0.06,0.04,1,2.38424417332,-2.57363073284,-1.00399935911,3,4,14,0.153398078789,0.204530771718,0.715857701013,2.46195472859,-2.46190642128,0.000087014772325,2.3085566498,-2.666437193,-0.715770686241,0.0913196121335,-0.0887610451945,-0.00357580791417,-0.00150559517539,-0.0182543713758,0.0936121609017,0.144982420577,-2.13727795492E-6,0.0000117973099162,0.0242868816372,-2.39377236723E-6,0.0000117973099162,0.12069553894,2.56494412305E-7,0,0.000108667439881,-2.94117056235E-6,-5.47590707351E-6,0.0016,3.45049431973E-9,0,0.12,2.5878707398E-7,0,0.0253061224489,5.45741448529E-8,0,0.00159708405682,-2.39502804149E-7,2.15655894964E-6,0.0399271014206,-5.98757010373E-6,0.000053913973741,0.000108667423774,-2.94176561511E-6,-5.47590707351E-6,0.000722700119842,-0.000418007874784,0,0.000108667423774,-2.94176561511E-6,-5.47590707351E-6,0.0016,0,0,0.12,0,0,0.025306122449,0,0,1,1,0,
0.07,0.08,1,3.02653717769,-3.22638591722,0.564710196335,6,1,-8,0.306796157577,0.0511326929295,-0.409061543436,3.62838404566,-3.63019463759,0.000668397113289,3.32158788808,-3.68132733052,0.409729940549,0.124535491014,-0.1255743185,0.000521491491321,0.00752797587695,0.0199928829354,-0.0044577219477,0.213727860192,-0.0000535055647257,-0.0000995759587077,0.0538031633639,-0.0000507169034613,-0.0000995759587077,0.159924696828,-2.7886612644E-6,0,0.00022287610369,5.11926566247E-6,0.0000176812619945,0.00479999999925,-8.48700575693E-8,0,0.159999999975,-2.82900191898E-6,0,0.025306122445,-4.47444181063E-7,0,0.00457712389556,-5.20413572004E-6,-0.0000176812619945,0.0745009959684,-0.000124115822897,-0.000495945523604,0.00022287601314,5.12320639245E-6,0.0000176812619945,0.000797988790802,-0.000218082401407,-0.000044577219477,0.00022287601314,5.12320639245E-6,0.0000176812619945,0.0048,0,0,0.16,0,0,0.025306122449,0,0,1,2,0,
0.08,0.08,1,2.93756794689,-2.91197384447,-0.28922707951,12,-13,4,0.613592315154,-0.664725008084,0.204530771718,3.62838404566,-3.63019463759,0.000668397113289,3.01479173051,-2.96546962951,-0.203862374605,0.154683408319,-0.155229014795,-0.00151713225473,0.0376398793847,-0.00782330201822,0.0133731658431,0.213727860192,-0.0000535055647257,-0.0000995759587077,0.0538031633639,-0.0000507169034613,-0.0000995759587077,0.159924696828,-2.7886612644E-6,0,0.000404290510353,0.0000157232490058,7.70016188862E-6,0.00479999999925,-8.48700575693E-8,0,0.159999999975,-2.82900191898E-6,0,0.025306122445,-4.47444181063E-7,0,0.00457712389556,-5.20413572004E-6,-0.0000176812619945,0.0745009959684,-0.000124115822897,-0.000495945523604,0.00040429038927,0.0000157263621077,7.70016188862E-6,0.00117439455769,-0.000296281863596,0.0000891544389541,0.00040429038927,0.0000157263621077,7.70016188862E-6,0.0048,0,0,0.16,0,0,0.025306122449,0,0,1,2,0,
0.09,0.08,1,3.01670977518,-3.01918171278,0.358014131802,12,-12,-5,0.613592315154,-0.613592315154,-0.255663464648,3.62838404566,-3.63019463759,0.000668397113289,3.01479173051,-3.01660232244,0.256331861761,0.184831325624,-0.185395038019,0.00104618636288,0.0361342842094,0.00869255779802,-0.0222886097385,0.213727860192,-0.0000535055647257,-0.0000995759587077,0.0538031633639,-0.0000507169034613,-0.0000995759587077,0.159924696828,-2.7886612644E-6,0,0.000681910036528,0.0000274385538016,-0.0000313602860374,0.00479999999925,-8.48700575693E-8,0,0.159999999975,-2.82900191898E-6,0,0.025306122445,-4.47444181063E-7,0,0.00457712389556,-5.20413572004E-6,-0.0000176812619945,0.0745009959684,-0.000124115822897,-0.000495945523604,0.000681910896674,0.0000274171688943,-0.0000313602860374,0.00153574902051,-0.000209404609551,-0.000133731658431,0.000681910896674,0.0000274171688943,-0.0000313602860374,0.0048,0,0,0.16,0,0,0.025306122449,0,0,1,2,0,
