METADATA,
,Tscript (s),wmax (bool),wmax (rad/s),L (m),wh D (m),ctrlMode,robpCtrlMode,FREQDIVPOSCTRL,feed-forward (bool),
General,0.01,OFF,0,0.195,0.102,cmRobP,pcmTXT,4,ON,
,ri (ohm),ki (Nm/A),vmax (V),imax (A),n:1 (gear),bv (dynamic),fc (static),kc (V / rad/s),ti (s),
Motor,0.6,0.3624,24,6,1,0.001316282616,0.80734166,0.547956859752217,0.208736119092,
Robot,(v):,(vn):,(w):,
kp,1.019649723,1.031417953,0.978734897,
tau (s),0.121202798,0.105652003,0.090826489,
kc,5.31321566904839,4.57866482846397,4.14804307364209,
td (s),0.0744844569896801,0.0473159100918112,0.0127519342197234,
,Filename,Nfuture,Npoly,Nudiv,
pcmTxt,3.835589,24,2,0,
DATA,
time (s),time w/ T*4 (s),traj (bool),v_m1 (V),v_m2 (V),v_m3 (V),odo_m1 (tcks/cyc),odo_m2 (tcks/cyc),odo_m3 (tcks/cyc),w_m1 (rad/s),w_m2 (rad/s),w_m3 (rad/s),w_r_m1 (rad/s),w_r_m2 (rad/s),w_r_m3 (rad/s),w_e_m1 (rad/s),w_e_m2 (rad/s),w_e_m3 (rad/s),w_eint_m1 (rad/s),w_eint_m2 (rad/s),w_eint_m3 (rad/s),v_rob (m/s),vn_rob (m/s),w_rob (rad/s),v_r_rob (m/s),vn_r_rob (m/s),w_r_rob (rad/s),v_pd_r_rob (m/s),vn_pd_r_rob (m/s),w_pd_r_rob (rad/s),v_ff_r_rob (m/s),vn_ff_r_rob (m/s),w_ff_r_rob (rad/s),px_loc (m),py_loc (m),pth_loc (rad),px_r_loc (m),py_r_loc (m),pth_r_loc (rad),px_r_1deriv_loc,py_r_1deriv_loc,pth_r_1deriv_loc,px_r_2deriv_loc,py_r_2deriv_loc,pth_r_2deriv_loc,px_e_loc (m),py_e_loc (m),pth_e_loc (rad),px_e_1deriv_loc,py_e_1deriv_loc,pth_e_1deriv_loc,px_gt (m),py_gt (m),pth_gt (rad),px_odo (m),py_odo (m),pth_odo (rad),px (m),py (m),pth (rad),px_r (m),py_r (m),pth_r (rad),px_r_1deriv,py_r_1deriv,pth_r_1deriv,px_r_2deriv,py_r_2deriv,pth_r_2deriv,xvel,i_global,u_ref,
0,0,1,0,0,0,-1,-7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00253980395053,0.00144928045229,-0.0041536262162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011637530406,-0.0000438450042566,-0.000142343210376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0.01,0,1,0.840558162527,-0.700465135439,0.980651189615,-12,10,-14,-0.613592315154,0.511326929295,-0.715857701013,0,0,0,0.613592315154,-0.511326929295,0.715857701013,0,0,0,-0.0331230938586,0.0226006502748,-0.0713235511632,0,0,0,-0.00253980395053,0.00144928045229,-0.0041536262162,0,0,0,-0.000331230931565,0.000226006497958,-0.000713235511632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33380095646E-8,-8.37388824948E-8,9.95654945883E-7,-0.000331069651469,0.000226242686116,-0.000713235511632,-0.000331069651469,0.000226242686116,-0.000713235511632,0,0,0,0,0,0,0,0,0,1,0,0,
0.02,0,1,-0.280186054176,-0.210139540632,0.280186054176,4,3,-4,0.204530771718,0.153398078789,-0.204530771718,0,0,0,-0.204530771718,-0.153398078789,0.204530771718,0,0,0,0.00150559517539,0.013038836697,0.0133731658431,0,0,0,-0.00253980395053,0.00144928045229,-0.0041536262162,0,0,0,-0.000316144752637,0.000356439158872,-0.000579503853201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.08930514293E-8,-1.72803069631E-7,1.29157547235E-6,-0.000315938141698,0.000356622306113,-0.000579503853201,-0.000315938141698,0.000356622306113,-0.000579503853201,0,0,0,0,0,0,0,0,0,1,0,0,
0.03,0.04,1,4.98834718334,3.33032883162,-6.27248815345,-7,-20,-10,-0.357928850507,-1.02265385859,-0.511326929295,6.7976958144,3.24548360913,-9.90332045389,7.15562466491,4.26813746772,-9.3919935246,0.0715562466491,0.0426813746772,-0.093919935246,0.0195727372801,-0.00608479045861,-0.164935712065,0.104594404319,0.507446945632,0.0121928332509,0.00227246485207,0.013038874017,0.0121928332509,0.102321939467,0.494408071615,0,-0.000121004867203,0.000295069340996,-0.00222886097385,0.0000284304303847,0.00159964070825,0,0.103357350544,0.506052869021,0,0.00804590905887,0.0368047177585,0,0.000149435297588,0.00130457136726,0.00222886097385,0.00373588243969,0.0326142841814,0.0557215243463,-5.51765936052E-7,-4.8578328915E-7,-7.5868354088E-7,-0.000120346898644,0.000295338310873,-0.00222886097385,-0.000120346898644,0.000295338310873,-0.00222886097385,0.0000319957335609,0.00159957336747,0,0.104485014371,0.505821243057,0,0.0081279216047,0.0367866931411,0,1,1,0,
0.04,0.04,1,4.38344906016,1.71008507244,-7.01817268223,20,39,7,1.02265385859,1.99417502425,0.357928850507,6.7976958144,3.24548360913,-9.90332045389,5.77504195581,1.25130858488,-10.2612493044,0.129306666207,0.0551944605261,-0.19653242829,-0.0286063083324,0.0391165100911,0.294209648548,0.104594404319,0.507446945632,0.0121928332509,0.00227246485207,0.013038874017,0.0121928332509,0.102321939467,0.494408071615,0,-0.000406199202431,0.000686589031259,0.000713235511633,0.0000284304303847,0.00159964070825,0,0.103357350544,0.506052869021,0,0.00804590905887,0.0368047177585,0,0.000149435297588,0.00130457136726,0.00222886097385,0.00373588243969,0.0326142841814,0.0557215243463,1.92176230485E-6,2.2388180696E-6,2.91206970359E-6,-0.000406688798751,0.000686299140952,0.000713235511633,-0.000406688798751,0.000686299140952,0.000713235511633,0.0000319957335609,0.00159957336747,0,0.104485014371,0.505821243057,0,0.0081279216047,0.0367866931411,0,1,1,0,
0.05,0.04,1,4.74057632507,3.29905596229,-6.58288326752,13,-14,-17,0.664725008084,-0.715857701013,-0.869255779802,6.7976958144,3.24548360913,-9.90332045389,6.13297080632,3.96134131015,-9.03406467409,0.19063637427,0.0948078736275,-0.286873075031,0.0406510697355,0.0286854407335,-0.0802389950586,0.104594404319,0.507446945632,0.0121928332509,0.00227246485207,0.013038874017,0.0121928332509,0.102321939467,0.494408071615,0,-2.39297299416E-7,0.000973117279752,-0.0000891544389536,0.0000284304303847,0.00159964070825,0,0.103357350544,0.506052869021,0,0.00804590905887,0.0368047177585,0,0.000149435297588,0.00130457136726,0.00222886097385,0.00373588243969,0.0326142841814,0.0557215243463,0.0000325827313645,0.0000838392297737,0.000126999402321,-1.52539573468E-7,0.000973117297219,-0.0000891544389536,-1.52539573468E-7,0.000973117297219,-0.0000891544389536,0.0000319957335609,0.00159957336747,0,0.104485014371,0.505821243057,0,0.0081279216047,0.0367866931411,0,1,1,0,
0.06,0.04,1,5.16582124956,2.72774735728,-6.99620290819,4,9,-11,0.204530771718,0.460194236366,-0.562459622225,6.7976958144,3.24548360913,-9.90332045389,6.59316504268,2.78528937277,-9.34086083167,0.256568024697,0.122660767355,-0.380281683348,-0.00752797587695,0.0304239522931,0.0089154438954,0.104594404319,0.507446945632,0.0121928332509,0.00227246485207,0.013038874017,0.0121928332509,0.102321939467,0.494408071615,0,-0.0000754322983182,0.00127735682005,8.881784197E-16,0.0000284304303847,0.00159964070825,0,0.103357350544,0.506052869021,0,0.00804590905887,0.0368047177585,0,0.000149435297588,0.00130457136726,0.00222886097385,0.00373588243969,0.0326142841814,0.0557215243463,0.000118602045404,0.000328927271767,0.000370925639721,-0.0000754322983182,0.00127735682005,8.881784197E-16,-0.0000754322983182,0.00127735682005,8.881784197E-16,0.0000319957335609,0.00159957336747,0,0.104485014371,0.505821243057,0,0.0081279216047,0.0367866931411,0,1,1,0,
0.07,0.08,1,5.08083472036,2.81258883173,-7.43864128039,25,10,-22,1.27831732324,0.511326929295,-1.12491924445,7.4220548954,3.31703460382,-10.8092614946,6.14373757216,2.80570767453,-9.68434225015,0.318005400419,0.1507178441,-0.477125105849,0.0225839276308,0.0686712066043,0.0579503853201,0.120871763089,0.550079412303,-0.0061175585714,-0.00227501356499,0.0212649728906,-0.0061175585714,0.123146776654,0.528814439412,0,0.000151147220654,0.0019641123753,0.000579503853202,0.0000987680611993,0.00479866367168,0,0.124392689448,0.541576899158,0,0.00968531482168,0.0364574958189,0,-0.0000523791594546,0.00283455129638,-0.000579503853202,-0.00504536142606,0.038249498228,-0.0702091206763,0.000232400896493,0.000723201897927,0.000842528786732,0.000150008984649,0.0019641996359,0.000579503853202,0.000150008984649,0.0019641996359,0.000579503853202,0.0000959872006827,0.0047987201024,0,0.124078822678,0.541648894259,0,0.00966418593728,0.0364631023742,0,1,2,0,
0.08,0.08,1,5.12467184392,2.76879874499,-7.51670183412,29,14,-28,1.48284809496,0.715857701013,-1.43171540203,7.4220548954,3.31703460382,-10.8092614946,5.93920680044,2.60117690281,-9.37754609257,0.377397468423,0.176729613129,-0.570900566775,0.0225839276308,0.0860563222004,0.0668658292155,0.120871763089,0.550079412303,-0.0061175585714,-0.00227501356499,0.0212649728906,-0.0061175585714,0.123146776654,0.528814439412,0,0.000378299778894,0.00282457407636,0.00124816214536,0.0000987680611993,0.00479866367168,0,0.124392689448,0.541576899158,0,0.00968531482168,0.0364574958189,0,-0.0000523791594546,0.00283455129638,-0.000579503853202,-0.00504536142606,0.038249498228,-0.0702091206763,0.00038310844684,0.0012793103233,0.00156934468946,0.000374773958693,0.00282504405549,0.00124816214536,0.000374773958693,0.00282504405549,0.00124816214536,0.0000959872006827,0.0047987201024,0,0.124078822678,0.541648894259,0,0.00966418593728,0.0364631023742,0,1,2,0,
0.09,0.08,1,5.10441818786,1.69201137405,-7.7041518406,35,53,-30,1.78964425253,2.71003272526,-1.53398078789,7.4220548954,3.31703460382,-10.8092614946,5.63241064287,0.607001878557,-9.27528070671,0.433721574852,0.182799631914,-0.663653373842,-0.027100713157,0.128649855411,0.258547872967,0.120871763089,0.550079412303,-0.0061175585714,-0.00227501356499,0.0212649728906,-0.0061175585714,0.123146776654,0.528814439412,0,0.000114594326457,0.00411008474649,0.00383364087502,0.0000987680611993,0.00479866367168,0,0.124392689448,0.541576899158,0,0.00968531482168,0.0364574958189,0,-0.0000523791594546,0.00283455129638,-0.000579503853202,-0.00504536142606,0.038249498228,-0.0702091206763,0.00057708210079,0.00199096323922,0.00245449978414,0.0000988369340838,0.00411049385639,0.00383364087502,0.0000988369340838,0.00411049385639,0.00383364087502,0.0000959872006827,0.0047987201024,0,0.124078822678,0.541648894259,0,0.00966418593728,0.0364631023742,0,1,2,0,
