METADATA,
,Tscript (s),wmax (bool),wmax (rad/s),L (m),wh D (m),ctrlMode,robpCtrlMode,FREQDIVPOSCTRL,feed-forward (bool),
General,0.01,OFF,0,0.195,0.102,cmRobP,pcmTXT,4,ON,
,ri (ohm),ki (Nm/A),vmax (V),imax (A),n:1 (gear),bv (dynamic),fc (static),kc (V / rad/s),ti (s),
Motor,0.6,0.3624,24,6,1,0.001316282616,0.80734166,0.547956859752217,0.208736119092,
Robot,(v):,(vn):,(w):,
kp,1.019649723,1.031417953,0.978734897,
tau (s),0.121202798,0.105652003,0.090826489,
kc,5.31321566904839,4.57866482846397,4.14804307364209,
td (s),0.0744844569896801,0.0473159100918112,0.0127519342197234,
,Filename,Nfuture,Npoly,Nudiv,
pcmTxt,0,6,2,0,
DATA,
time (s),time w/ T*4 (s),traj (bool),v_m1 (V),v_m2 (V),v_m3 (V),odo_m1 (tcks/cyc),odo_m2 (tcks/cyc),odo_m3 (tcks/cyc),w_m1 (rad/s),w_m2 (rad/s),w_m3 (rad/s),w_r_m1 (rad/s),w_r_m2 (rad/s),w_r_m3 (rad/s),w_e_m1 (rad/s),w_e_m2 (rad/s),w_e_m3 (rad/s),w_eint_m1 (rad/s),w_eint_m2 (rad/s),w_eint_m3 (rad/s),v_rob (m/s),vn_rob (m/s),w_rob (rad/s),v_r_rob (m/s),vn_r_rob (m/s),w_r_rob (rad/s),v_pd_r_rob (m/s),vn_pd_r_rob (m/s),w_pd_r_rob (rad/s),v_ff_r_rob (m/s),vn_ff_r_rob (m/s),w_ff_r_rob (rad/s),px_loc (m),py_loc (m),pth_loc (rad),px_r_loc (m),py_r_loc (m),pth_r_loc (rad),px_r_1deriv_loc,py_r_1deriv_loc,pth_r_1deriv_loc,px_r_2deriv_loc,py_r_2deriv_loc,pth_r_2deriv_loc,px_e_loc (m),py_e_loc (m),pth_e_loc (rad),px_e_1deriv_loc,py_e_1deriv_loc,pth_e_1deriv_loc,px_gt (m),py_gt (m),pth_gt (rad),px_odo (m),py_odo (m),pth_odo (rad),px (m),py (m),pth (rad),px_r (m),py_r (m),pth_r (rad),px_r_1deriv,py_r_1deriv,pth_r_1deriv,px_r_2deriv,py_r_2deriv,pth_r_2deriv,xvel,i_global,u_ref,
0,0,1,0,0,0,4,4,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00261926243806,-0.00050327355619,-0.00200980175865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151830623508,-0.0000471510829811,-0.000158992638287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0.01,0,1,0.490325594807,-0.35023256772,0,-7,5,0,-0.357928850507,0.255663464648,0,0,0,0,0.357928850507,-0.255663464648,0,0,0,0,-0.0180671421047,-0.0017385115596,-0.0089154438954,0,0,0,-0.00261926243806,-0.00050327355619,-0.00200980175865,0,0,0,-0.000180671420987,-0.0000173851155902,-0.0000891544389541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56703151788E-7,-1.0322803945E-7,-5.5883500272E-8,-0.000180672970229,-0.0000173690078619,-0.0000891544389541,-0.000180672970229,-0.0000173690078619,-0.0000891544389541,0,0,0,0,0,0,0,0,0,1,0,0,
0.02,0,1,-0.140093027088,-0.0700465135439,0.210139540632,2,1,-3,0.102265385859,0.0511326929295,-0.153398078789,0,0,0,-0.102265385859,-0.0511326929295,0.153398078789,0,0,0,0.00150559517539,0.00782330201822,0,0,0,0,-0.00261926243806,-0.00050327355619,-0.00200980175865,0,0,0,-0.000165615469233,0.000060847904592,-0.0000891544389541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70781634729E-7,-4.51221978892E-7,-3.74663159164E-7,-0.000165610043714,0.0000608626697044,-0.0000891544389541,-0.000165610043714,0.0000608626697044,-0.0000891544389541,0,0,0,0,0,0,0,0,0,1,0,0,
0.03,0.04,1,1.69323914133,1.74002671972,-2.82922622977,7,2,0,0.357928850507,0.102265385859,0,1.77502699383,1.60084545816,-3.39545270774,1.41709814332,1.49858007231,-3.39545270774,0.0141709814332,0.0149858007231,-0.0339545270774,0.00752797587695,0.00782330201822,0.0401194975293,0.00512875158174,0.172835223747,-0.00170699665512,0.00186751499041,0.0145965026984,-0.00170699665512,0.00326123659132,0.158238721049,0,-0.000090311285767,0.000139147363445,0.000312040536339,0.0000324948637266,0.00159956330563,0,0.00324948637266,0.159956330563,0,0.000625667192284,0.0307985376006,0,0.000122806149494,0.00146041594218,-0.000312040536339,0.00307015373734,0.0365103985545,-0.00780101340848,3.71925011677E-7,-1.8380152369E-6,-1.69736961197E-6,-0.0000903547009874,0.000139119175889,0.000312040536339,-0.0000903547009874,0.000139119175889,0.000312040536339,0.0000319957335609,0.00159957336747,0,0.00319957335609,0.159957336747,0,0.000616056769788,0.0307987313348,0,1,1,0,
0.04,0.04,1,2.22957328796,2.10233504379,-2.65411362784,-10,-9,-9,-0.511326929295,-0.460194236366,-0.460194236366,1.77502699383,1.60084545816,-3.39545270774,2.28635392313,2.06103969453,-2.93525847138,0.0370345206645,0.0355961976684,-0.0633071117912,-0.00150559517539,-0.000869255779802,-0.124816214536,0.00512875158174,0.172835223747,-0.00170699665512,0.00186751499041,0.0145965026984,-0.00170699665512,0.00326123659132,0.158238721049,0,-0.000105540844622,0.000130341974723,-0.000936121609017,0.0000324948637266,0.00159956330563,0,0.00324948637266,0.159956330563,0,0.000625667192284,0.0307985376006,0,0.000122806149494,0.00146041594218,-0.000312040536339,0.00307015373734,0.0365103985545,-0.00780101340848,-3.56193595508E-7,-4.47277807325E-6,-6.59508305025E-6,-0.000105418782457,0.000130440716663,-0.000936121609017,-0.000105418782457,0.000130440716663,-0.000936121609017,0.0000319957335609,0.00159957336747,0,0.00319957335609,0.159957336747,0,0.000616056769788,0.0307987313348,0,1,1,0,
0.05,0.04,1,1.4968510816,0.990217538695,-2.78988922088,17,21,-7,0.869255779802,1.07378655152,-0.357928850507,1.77502699383,1.60084545816,-3.39545270774,0.905771214028,0.527058906644,-3.03752385724,0.0460922328048,0.0408667867348,-0.0936823503636,-0.00602238070156,0.0452013005497,0.138189380379,0.00512875158174,0.172835223747,-0.00170699665512,0.00186751499041,0.0145965026984,-0.00170699665512,0.00326123659132,0.158238721049,0,-0.000165584427364,0.000582500665994,0.000445772194771,0.0000324948637266,0.00159956330563,0,0.00324948637266,0.159956330563,0,0.000625667192284,0.0307985376006,0,0.000122806149494,0.00146041594218,-0.000312040536339,0.00307015373734,0.0365103985545,-0.00780101340848,-6.72028761528E-7,0.000014128663679,-0.0000862542581352,-0.000165844073503,0.000582426795188,0.000445772194771,-0.000165844073503,0.000582426795188,0.000445772194771,0.0000319957335609,0.00159957336747,0,0.00319957335609,0.159957336747,0,0.000616056769788,0.0307987313348,0,1,1,0,
0.06,0.04,1,2.40145273622,2.22899728199,-3.04579261324,-13,-11,-1,-0.664725008084,-0.562459622225,-0.0511326929295,1.77502699383,1.60084545816,-3.39545270774,2.43975200191,2.16330508039,-3.34432001482,0.0704897528239,0.0624998375387,-0.127125550512,-0.00301119035078,-0.0191236271556,-0.111443048693,0.00512875158174,0.172835223747,-0.00170699665512,0.00186751499041,0.0145965026984,-0.00170699665512,0.00326123659132,0.158238721049,0,-0.000196345382855,0.000391079510318,-0.000668658292155,0.0000324948637266,0.00159956330563,0,0.00324948637266,0.159956330563,0,0.000625667192284,0.0307985376006,0,0.000122806149494,0.00146041594218,-0.000312040536339,0.00307015373734,0.0365103985545,-0.00780101340848,3.47487912222E-6,0.0000929392554099,-0.000227471285767,-0.000196083840424,0.00039121071085,-0.000668658292155,-0.000196083840424,0.00039121071085,-0.000668658292155,0.0000319957335609,0.00159957336747,0,0.00319957335609,0.159957336747,0,0.000616056769788,0.0307987313348,0,1,1,0,
0.07,0.08,1,2.39990277149,2.0925941565,-3.57076284165,2,6,-8,0.102265385859,0.306796157577,-0.409061543436,2.42777948127,2.13365100418,-4.5147395817,2.32551409541,1.82685484661,-4.10567803827,0.093744893778,0.0807683860047,-0.168182330894,-0.00602238070156,0.0208621387152,0,0.00866057292649,0.231045464031,0.00407048904492,0.00409751584827,0.034059060453,0.00407048904492,0.00456305707822,0.196986403578,0,-0.000256569189871,0.000599700897471,-0.000668658292155,0.0000927784754754,0.00479878321227,0,0.00455086242819,0.199922340996,0,0.000840388665394,0.0307894981479,0,0.000349347665346,0.0041990823148,0.000668658292155,0.00566353789632,0.0684666593154,0.0245174707123,0.0000161522675626,0.000230051227845,-0.000499186561278,-0.000256168137566,0.00059987232051,-0.000668658292155,-0.000256168137566,0.00059987232051,-0.000668658292155,0.0000959872006827,0.0047987201024,0,0.00468454113197,0.199919253331,0,0.000860976129237,0.0307889293321,0,1,2,0,
0.08,0.08,1,2.3435070386,2.25799445727,-3.41429448987,6,2,-17,0.306796157577,0.102265385859,-0.869255779802,2.42777948127,2.13365100418,-4.5147395817,2.12098332369,2.03138561832,-3.6454838019,0.114954727015,0.101082242188,-0.204637168913,0.00602238070156,0.0365087427517,-0.0401194975293,0.00866057292649,0.231045464031,0.00407048904492,0.00409751584827,0.034059060453,0.00407048904492,0.00456305707822,0.196986403578,0,-0.000196585959591,0.000964685340009,-0.00106985326745,0.0000927784754754,0.00479878321227,0,0.00455086242819,0.199922340996,0,0.000840388665394,0.0307894981479,0,0.000349347665346,0.0041990823148,0.000668658292155,0.00566353789632,0.0684666593154,0.0245174707123,0.0000373492875951,0.000451289844932,-0.000810647136535,-0.00019555377552,0.000964895106017,-0.00106985326745,-0.00019555377552,0.000964895106017,-0.00106985326745,0.0000959872006827,0.0047987201024,0,0.00468454113197,0.199919253331,0,0.000860976129237,0.0307889293321,0,1,2,0,
0.09,0.08,1,2.34046373876,2.22323830913,-3.39254951404,8,5,-21,0.409061543436,0.255663464648,-1.07378655152,2.42777948127,2.13365100418,-4.5147395817,2.01871793783,1.87798753954,-3.44095303018,0.135141906393,0.119862117583,-0.239046699215,0.00451678552617,0.0478090678891,-0.0356617755816,0.00866057292649,0.231045464031,0.00407048904492,0.00409751584827,0.034059060453,0.00407048904492,0.00456305707822,0.196986403578,0,-0.000151762115982,0.00144270584898,-0.00142647102326,0.0000927784754754,0.00479878321227,0,0.00455086242819,0.199922340996,0,0.000840388665394,0.0307894981479,0,0.000349347665346,0.0041990823148,0.000668658292155,0.00566353789632,0.0684666593154,0.0245174707123,0.0000685596605763,0.000771818275098,-0.00114720437567,-0.000149703984187,0.00144292086535,-0.00142647102326,-0.000149703984187,0.00144292086535,-0.00142647102326,0.0000959872006827,0.0047987201024,0,0.00468454113197,0.199919253331,0,0.000860976129237,0.0307889293321,0,1,2,0,
0.1,0.08,1,2.33473585228,2.21381608419,-3.3947961681,10,7,-24,0.511326929295,0.357928850507,-1.22718463031,2.42777948127,2.13365100418,-4.5147395817,1.91645255197,1.77572215368,-3.28755495139,0.154306431913,0.13761933912,-0.271922248729,0.00451678552617,0.0565016256871,-0.0312040536339,0.00866057292649,0.231045464031,0.00407048904492,0.00409751584827,0.034059060453,0.00407048904492,0.00456305707822,0.196986403578,0,-0.000107044436215,0.00200767467739,-0.0017385115596,0.0000927784754754,0.00479878321227,0,0.00455086242819,0.199922340996,0,0.000840388665394,0.0307894981479,0,0.000349347665346,0.0041990823148,0.000668658292155,0.00566353789632,0.0684666593154,0.0245174707123,0.000102931706351,0.00119367765728,-0.00149684061279,-0.000103553910572,0.00200785774127,-0.0017385115596,-0.000103553910572,0.00200785774127,-0.0017385115596,0.0000959872006827,0.0047987201024,0,0.00468454113197,0.199919253331,0,0.000860976129237,0.0307889293321,0,1,2,0,
0.11,0.12,1,2.61444544962,2.54830743771,-3.95712613584,12,8,-27,0.613592315154,0.409061543436,-1.3805827091,2.92955244947,2.68612909953,-5.49715389592,2.31596013432,2.27706755609,-4.11657118682,0.177466033256,0.160390014681,-0.313087960597,0.00602238070156,0.0643249277053,-0.0312040536339,0.00716756736745,0.282369818794,0.0103331800129,-0.000114770128863,0.046690193162,0.0103331800129,0.00728233749631,0.235679625632,0,-0.000047447100105,0.00265089045189,-0.00205055209594,0.000172293960426,0.00959781368055,0,0.00723056700639,0.239834354219,0,0.00160777150143,0.0307598788625,0,0.000219741060531,0.00694692322866,0.00205055209594,-0.00324016512039,0.0686960228466,0.0345473450947,0.000141215292388,0.00171486428007,-0.00184881947429,-0.0000420112151902,0.00265098217139,-0.00205055209594,-0.0000420112151902,0.00265098217139,-0.00205055209594,0.000191974401365,0.00959744020479,0,0.00772234429806,0.239819023352,0,0.00167084281115,0.0307565173766,0,1,3,0,
0.12,0.12,1,2.73396373303,2.54936153252,-3.97710856103,10,10,-30,0.511326929295,0.511326929295,-1.53398078789,2.92955244947,2.68612909953,-5.49715389592,2.41822552018,2.17480217024,-3.96317310803,0.201648288458,0.182138036383,-0.352719691678,0,0.0695404623841,-0.044577219477,0.00716756736745,0.282369818794,0.0103331800129,-0.000114770128863,0.046690193162,0.0103331800129,0.00728233749631,0.235679625632,0,-0.0000486287886064,0.00334627365599,-0.00249632429071,0.000172293960426,0.00959781368055,0,0.00723056700639,0.239834354219,0,0.00160777150143,0.0307598788625,0,0.000219741060531,0.00694692322866,0.00205055209594,-0.00324016512039,0.0686960228466,0.0345473450947,0.000182301839232,0.00233664293773,-0.00220136666504,-0.0000402752615531,0.00334638462272,-0.00249632429071,-0.0000402752615531,0.00334638462272,-0.00249632429071,0.000191974401365,0.00959744020479,0,0.00772234429806,0.239819023352,0,0.00167084281115,0.0307565173766,0,1,3,0,
0.13,0.12,1,2.65064098089,2.60645264703,-4.02242490942,15,10,-32,0.766990393943,0.511326929295,-1.63624617374,2.92955244947,2.68612909953,-5.49715389592,2.16256205553,2.17480217024,-3.86090772217,0.223273909013,0.203886058086,-0.391328768899,0.00752797587695,0.0773637644024,-0.0312040536339,0.00716756736745,0.282369818794,0.0103331800129,-0.000114770128863,0.046690193162,0.0103331800129,0.00728233749631,0.235679625632,0,0.0000256067992157,0.00411989595981,-0.00280836482705,0.000172293960426,0.00959781368055,0,0.00723056700639,0.239834354219,0,0.00160777150143,0.0307598788625,0,0.000219741060531,0.00694692322866,0.00205055209594,-0.00324016512039,0.0686960228466,0.0345473450947,0.000222813308937,0.00307612260804,-0.00255329126163,0.0000371768539323,0.00411980780005,-0.00280836482705,0.0000371768539323,0.00411980780005,-0.00280836482705,0.000191974401365,0.00959744020479,0,0.00772234429806,0.239819023352,0,0.00167084281115,0.0307565173766,0,1,3,0,
0.14,0.12,1,2.73677158117,2.57546135204,-4.03569586801,14,13,-35,0.715857701013,0.664725008084,-1.78964425253,2.92955244947,2.68612909953,-5.49715389592,2.21369474846,2.02140409145,-3.70750964338,0.245410856498,0.224100099,-0.428403865333,0.00150559517539,0.0843178106408,-0.0356617755816,0.00716756736745,0.282369818794,0.0103331800129,-0.000114770128863,0.046690193162,0.0103331800129,0.00728233749631,0.235679625632,0,0.0000391935212413,0.00496308293162,-0.00316498258287,0.000172293960426,0.00959781368055,0,0.00723056700639,0.239834354219,0,0.00160777150143,0.0307598788625,0,0.000219741060531,0.00694692322866,0.00205055209594,-0.00324016512039,0.0686960228466,0.0345473450947,0.000267504306976,0.00394188473001,-0.00288363437772,0.0000549013697494,0.00496293402715,-0.00316498258287,0.0000549013697494,0.00496293402715,-0.00316498258287,0.000191974401365,0.00959744020479,0,0.00772234429806,0.239819023352,0,0.00167084281115,0.0307565173766,0,1,3,0,
0.15,0.16,1,3.07678622806,2.84871815307,-4.7180181559,17,15,-36,0.869255779802,0.766990393943,-1.84077694546,3.57389203189,3.17186624611,-6.56707379375,2.70463625209,2.40487585217,-4.72629684828,0.272457219019,0.248148857522,-0.475666833816,0.00301119035078,0.0904026010994,-0.0178308877908,0.0118375944777,0.337958399713,0.0155776217042,0.000837778535558,0.063617695873,0.0155776217042,0.0109998159422,0.27434070384,0,0.0000684204623423,0.00586711585107,-0.00334329146078,0.000266477247257,0.0159967139864,0,0.0108754897687,0.279714676182,0,0.00280908952125,0.0307164171516,0,0.000198056784914,0.0101295981354,0.00334329146078,-0.000542106890415,0.0795668726677,0.0323184841209,0.000315015233355,0.00493038957939,-0.00320150858862,0.0000880355217364,0.00586685431184,-0.00334329146078,0.0000880355217364,0.00586685431184,-0.00334329146078,0.000319957335609,0.0159957336747,0,0.011810594934,0.279676753051,0,0.00291176756569,0.0307068538964,0,1,4,0,
0.16,0.16,1,3.11842530713,2.82376656279,-4.60720258089,18,18,-44,0.920388472731,0.920388472731,-2.2498384889,3.57389203189,3.17186624611,-6.56707379375,2.65350355916,2.25147777338,-4.31723530485,0.29899225461,0.270663635256,-0.518839186864,0,0.107787716695,-0.0356617755816,0.0118375944777,0.337958399713,0.0155776217042,0.000837778535558,0.063617695873,0.0155776217042,0.0109998159422,0.27434070384,0,0.000066328140348,0.00694501703918,-0.00369990921659,0.000266477247257,0.0159967139864,0,0.0108754897687,0.279714676182,0,0.00280908952125,0.0307164171516,0,0.000198056784914,0.0101295981354,0.00334329146078,-0.000542106890415,0.0795668726677,0.0323184841209,0.000366095686331,0.00604293262586,-0.00350404826374,0.0000920235602807,0.00694472409539,-0.00369990921659,0.0000920235602807,0.00694472409539,-0.00369990921659,0.000319957335609,0.0159957336747,0,0.011810594934,0.279676753051,0,0.00291176756569,0.0307068538964,0,1,4,0,
0.17,0.16,1,3.0412788802,2.82414889572,-4.51500946247,23,20,-51,1.17605193738,1.02265385859,-2.60776733941,3.57389203189,3.17186624611,-6.56707379375,2.39784009451,2.14921238752,-3.95930645434,0.322970655555,0.292155759131,-0.558432251408,0.00451678552617,0.126042088071,-0.0356617755816,0.0118375944777,0.337958399713,0.0155776217042,0.000837778535558,0.063617695873,0.0155776217042,0.0109998159422,0.27434070384,0,0.000109019274815,0.00820546112539,-0.00405652697241,0.000266477247257,0.0159967139864,0,0.0108754897687,0.279714676182,0,0.00280908952125,0.0307164171516,0,0.000198056784914,0.0101295981354,0.00334329146078,-0.000542106890415,0.0795668726677,0.0323184841209,0.000422612065449,0.00729386694729,-0.00377904689567,0.000142303960925,0.00820495137495,-0.00405652697241,0.000142303960925,0.00820495137495,-0.00405652697241,0.000319957335609,0.0159957336747,0,0.011810594934,0.279676753051,0,0.00291176756569,0.0307068538964,0,1,4,0,
