METADATA,
,Tscript (s),wmax (bool),wmax (rad/s),L (m),wh D (m),ctrlMode,robpCtrlMode,FREQDIVPOSCTRL,feed-forward (bool),
General,0.01,OFF,0,0.195,0.102,cmRobP,pcmTXT,4,ON,
,ri (ohm),ki (Nm/A),vmax (V),imax (A),n:1 (gear),bv (dynamic),fc (static),kc (V / rad/s),ti (s),
Motor,0.6,0.3624,24,6,1,0.001316282616,0.80734166,0.547956859752217,0.208736119092,
Robot,(v):,(vn):,(w):,
kp,1.019649723,1.031417953,0.978734897,
tau (s),0.121202798,0.105652003,0.090826489,
kc,5.31321566904839,4.57866482846397,4.14804307364209,
td (s),0.0744844569896801,0.0473159100918112,0.0127519342197234,
,Filename,Nfuture,Npoly,Nudiv,
pcmTxt,0,4,2,0,
DATA,
time (s),time w/ T*4 (s),traj (bool),v_m1 (V),v_m2 (V),v_m3 (V),odo_m1 (tcks/cyc),odo_m2 (tcks/cyc),odo_m3 (tcks/cyc),w_m1 (rad/s),w_m2 (rad/s),w_m3 (rad/s),w_r_m1 (rad/s),w_r_m2 (rad/s),w_r_m3 (rad/s),w_e_m1 (rad/s),w_e_m2 (rad/s),w_e_m3 (rad/s),w_eint_m1 (rad/s),w_eint_m2 (rad/s),w_eint_m3 (rad/s),v_rob (m/s),vn_rob (m/s),w_rob (rad/s),v_r_rob (m/s),vn_r_rob (m/s),w_r_rob (rad/s),v_pd_r_rob (m/s),vn_pd_r_rob (m/s),w_pd_r_rob (rad/s),v_ff_r_rob (m/s),vn_ff_r_rob (m/s),w_ff_r_rob (rad/s),px_loc (m),py_loc (m),pth_loc (rad),px_r_loc (m),py_r_loc (m),pth_r_loc (rad),px_r_1deriv_loc,py_r_1deriv_loc,pth_r_1deriv_loc,px_r_2deriv_loc,py_r_2deriv_loc,pth_r_2deriv_loc,px_e_loc (m),py_e_loc (m),pth_e_loc (rad),px_e_1deriv_loc,py_e_1deriv_loc,pth_e_1deriv_loc,px_gt (m),py_gt (m),pth_gt (rad),px_odo (m),py_odo (m),pth_odo (rad),px (m),py (m),pth (rad),px_r (m),py_r (m),pth_r (rad),px_r_1deriv,py_r_1deriv,pth_r_1deriv,px_r_2deriv,py_r_2deriv,pth_r_2deriv,xvel,i_global,u_ref,
0,0,1,0,0,0,-5,-1,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00183683268122,0.00159443690218,-0.00334698196078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000655799158267,-0.0000484433512611,-0.0000985295333971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
0.01,0,1,0.210139540632,-0.210139540632,0,-3,3,0,-0.153398078789,0.153398078789,0,0,0,0,0.153398078789,-0.153398078789,0,0,0,0,-0.00903357105234,0,0,0,0,0,-0.00183683268122,0.00159443690218,-0.00334698196078,0,0,0,-0.0000903357105234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13356577458E-7,-8.24435488767E-8,9.88539568425E-7,-0.0000903357105234,0,0,-0.0000903357105234,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
0.02,0,1,0.210139540632,0.420279081264,-0.0700465135439,-3,-6,1,-0.153398078789,-0.306796157577,0.0511326929295,0,0,0,0.153398078789,0.306796157577,-0.0511326929295,0,0,0,0.00451678552617,-0.00956181357782,-0.0356617755816,0,0,0,-0.00183683268122,0.00159443690218,-0.00334698196078,0,0,0,-0.0000451678497568,-0.0000956503505892,-0.000356617755816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32252000135E-7,-2.10125264744E-7,1.76048433786E-6,-0.0000452019574973,-0.0000956342368501,-0.000356617755816,-0.0000452019574973,-0.0000956342368501,-0.000356617755816,0,0,0,0,0,0,0,0,0,0.5,0,0,
0.03,0.04,1,1.35339981848,-1.51845694288,-0.00148039938083,-1,3,-1,-0.0511326929295,0.153398078789,-0.0511326929295,0.891658154914,-0.959311780892,-0.0521639528487,0.942790847843,-1.11270985968,-0.00103125991916,0.00942790847843,-0.0111270985968,-0.0000103125991916,-0.00602238070156,0.00347702311921,0.0044577219477,0.0545015575257,0.000623462755228,-0.0104456350772,0.0137683689956,0.000610956899934,0.000561271975813,0.0407331885301,0.0000125058552941,-0.011006907053,-0.000105395920549,-0.0000608781058478,-0.000312040536339,0.000799999961052,2.4963242502E-7,-0.000209439510239,0.0399999980526,0.000012481621251,-0.010471975512,0.0126530606085,3.94826794675E-6,-0.00331256368236,0.000905395881601,0.0000611277382728,0.0001026010261,0.02263489704,0.00152819345682,0.0025650256525,1.33623825604E-6,2.23001393351E-7,7.05002378254E-7,-0.000105414911854,-0.0000608452150849,-0.000312040536339,-0.000105414911854,-0.0000608452150849,-0.000312040536339,0.0008,0,-0.000209439510239,0.04,0,-0.010471975512,0.0126530612245,0,-0.00331256368236,0.5,0,0.5,
0.04,0.04,1,2.09157511904,-1.75319250741,-1.17598421175,-23,10,15,-1.17605193738,0.511326929295,0.766990393943,0.891658154914,-0.959311780892,-0.0521639528487,2.06771009229,-1.47063871019,-0.819154346792,0.0301050094014,-0.0258334856987,-0.00820185606711,-0.0496846407879,-0.0373779985315,0.0089154438954,0.0545015575257,0.000623462755228,-0.0104456350772,0.0137683689956,0.000610956899934,0.000561271975813,0.0407331885301,0.0000125058552941,-0.011006907053,-0.000602247755398,-0.000434648694283,-0.000222886097385,0.000799999961052,2.4963242502E-7,-0.000209439510239,0.0399999980526,0.000012481621251,-0.010471975512,0.0126530606085,3.94826794675E-6,-0.00331256368236,0.000905395881601,0.0000611277382728,0.0001026010261,0.02263489704,0.00152819345682,0.0025650256525,4.02466594096E-6,1.20378695101E-6,-2.67592076852E-6,-0.000602344617589,-0.000434514450836,-0.000222886097385,-0.000602344617589,-0.000434514450836,-0.000222886097385,0.0008,0,-0.000209439510239,0.04,0,-0.010471975512,0.0126530612245,0,-0.00331256368236,0.5,0,0.5,
0.05,0.04,1,-0.944703314569,-1.82115930618,1.47398387212,33,11,-22,1.68737886667,0.562459622225,-1.12491924445,0.891658154914,-0.959311780892,-0.0521639528487,-0.795720711761,-1.52177140312,1.0727552916,0.0221478022838,-0.0410511997298,0.0025256968489,0.0331230938586,0.0764945086226,0.0980698828494,0.0545015575257,0.000623462755228,-0.0104456350772,0.0137683689956,0.000610956899934,0.000561271975813,0.0407331885301,0.0000125058552941,-0.011006907053,-0.00027144279987,0.000330887193878,0.00075781273111,0.000799999961052,2.4963242502E-7,-0.000209439510239,0.0399999980526,0.000012481621251,-0.010471975512,0.0126530606085,3.94826794675E-6,-0.00331256368236,0.000905395881601,0.0000611277382728,0.0001026010261,0.02263489704,0.00152819345682,0.0025650256525,0.0000122332185128,2.32308735804E-7,9.24104483601E-7,-0.000271693472432,0.000330681396077,0.00075781273111,-0.000271693472432,0.000330681396077,0.00075781273111,0.0008,0,-0.000209439510239,0.04,0,-0.010471975512,0.0126530612245,0,-0.00331256368236,0.5,0,0.5,
0.06,0.04,1,0.911533711801,0.702344748591,0.235302060153,7,-32,-4,0.357928850507,-1.63624617374,-0.204530771718,0.891658154914,-0.959311780892,-0.0521639528487,0.533729304407,0.676934392853,0.152366818869,0.0274850953278,-0.0342818558013,0.0040493650376,0.0587182118402,-0.0147773482566,-0.129273936483,0.0545015575257,0.000623462755228,-0.0104456350772,0.0137683689956,0.000610956899934,0.000561271975813,0.0407331885301,0.0000125058552941,-0.011006907053,0.000315311753677,0.000182762540421,-0.000534926633724,0.000799999961052,2.4963242502E-7,-0.000209439510239,0.0399999980526,0.000012481621251,-0.010471975512,0.0126530606085,3.94826794675E-6,-0.00331256368236,0.000905395881601,0.0000611277382728,0.0001026010261,0.02263489704,0.00152819345682,0.0025650256525,0.0000358836223313,-4.22121092924E-6,0.0000255573358971,0.00031540947311,0.000182593845626,-0.000534926633724,0.00031540947311,0.000182593845626,-0.000534926633724,0.0008,0,-0.000209439510239,0.04,0,-0.010471975512,0.0126530612245,0,-0.00331256368236,0.5,0,0.5,
0.07,0.08,1,1.93680996761,-2.07786955993,-0.158748205567,-10,11,2,-0.511326929295,0.562459622225,0.102265385859,1.20430277082,-1.36775658507,-0.0268326421136,1.71562970011,-1.9302162073,-0.129098027973,0.0446413923289,-0.0535840178743,0.00275838475787,-0.0316174986832,-0.00260776733941,0.0133731658431,0.0757339372362,-0.00186640501049,-0.0165890756835,0.015386172623,-0.00189026345096,-0.000232417873614,0.0603477646132,0.0000238584404695,-0.0163566578099,-8.38794601042E-7,0.000156642698249,-0.000401194975293,0.00159999987123,6.41911943249E-7,-0.000418879020479,0.0599999951713,0.0000240716978718,-0.0157079632679,0.0126530602062,5.07634444916E-6,-0.00331256368236,0.00160083866584,-0.000156000786306,-0.0000176840451855,0.0173860696058,-0.00542821311446,-0.00300712678214,0.0000741327676224,-0.000014337399989,0.0000274239351592,-7.75950271769E-7,0.000156643022163,-0.000401194975293,-7.75950271769E-7,0.000156643022163,-0.000401194975293,0.0016,0,-0.000418879020479,0.06,0,-0.0157079632679,0.0126530612245,0,-0.00331256368236,0.5,1,0,
0.08,0.08,1,1.71760003628,-1.8349319736,-0.460829705265,-1,1,6,-0.0511326929295,0.0511326929295,0.306796157577,1.20430277082,-1.36775658507,-0.0268326421136,1.25543546375,-1.418889278,-0.333628799691,0.0571957469664,-0.0677729106543,-0.000577903239038,-0.00301119035078,-0.0104310693576,0.0267463316862,0.0757339372362,-0.00186640501049,-0.0165890756835,0.015386172623,-0.00189026345096,-0.000232417873614,0.0603477646132,0.0000238584404695,-0.0163566578099,-0.0000309088018139,0.0000523322237276,-0.000133731658431,0.00159999987123,6.41911943249E-7,-0.000418879020479,0.0599999951713,0.0000240716978718,-0.0157079632679,0.0126530602062,5.07634444916E-6,-0.00331256368236,0.00160083866584,-0.000156000786306,-0.0000176840451855,0.0173860696058,-0.00542821311446,-0.00300712678214,0.000112151552457,-0.0000260725319094,0.0000100437458205,-0.0000309018030625,0.0000523363567449,-0.000133731658431,-0.0000309018030625,0.0000523363567449,-0.000133731658431,0.0016,0,-0.000418879020479,0.06,0,-0.0157079632679,0.0126530612245,0,-0.00331256368236,0.5,1,0,
0.09,0.08,1,1.66247428407,-1.7253754699,-0.0423116010341,2,-4,0,0.102265385859,-0.204530771718,0,1.20430277082,-1.36775658507,-0.0268326421136,1.10203738496,-1.16322581335,-0.0268326421136,0.068216120816,-0.0794051687879,-0.000846229660174,0.00903357105234,-0.0017385115596,-0.0089154438954,0.0757339372362,-0.00186640501049,-0.0165890756835,0.015386172623,-0.00189026345096,-0.000232417873614,0.0603477646132,0.0000238584404695,-0.0163566578099,0.0000594222431523,0.0000349443522724,-0.000222886097385,0.00159999987123,6.41911943249E-7,-0.000418879020479,0.0599999951713,0.0000240716978718,-0.0157079632679,0.0126530602062,5.07634444916E-6,-0.00331256368236,0.00160083866584,-0.000156000786306,-0.0000176840451855,0.0173860696058,-0.00542821311446,-0.00300712678214,0.00015626673121,-0.0000333778989443,-4.20290962208E-6,0.0000594300302866,0.0000349311070126,-0.000222886097385,0.0000594300302866,0.0000349311070126,-0.000222886097385,0.0016,0,-0.000418879020479,0.06,0,-0.0157079632679,0.0126530612245,0,-0.00331256368236,0.5,1,0,
