METADATA,
,Tscript (s),wmax (bool),wmax (rad/s),L (m),wh D (m),ctrlMode,robpCtrlMode,FREQDIVPOSCTRL,feed-forward (bool),
General,0.01,OFF,0,0.195,0.102,cmRobP,pcmTXT,4,ON,
,ri (ohm),ki (Nm/A),vmax (V),imax (A),n:1 (gear),bv (dynamic),fc (static),kc (V / rad/s),ti (s),
Motor,0.6,0.3624,24,6,1,0.001316282616,0.80734166,0.547956859752217,0.208736119092,
Robot,(v):,(vn):,(w):,
kp,1.019649723,1.031417953,0.978734897,
tau (s),0.121202798,0.105652003,0.090826489,
kc,5.31321566904839,4.57866482846397,4.14804307364209,
td (s),0.0744844569896801,0.0473159100918112,0.0127519342197234,
,Filename,Nfuture,Npoly,Nudiv,
pcmTxt,2.174664,7,2,0,
DATA,
time (s),time w/ T*4 (s),traj (bool),v_m1 (V),v_m2 (V),v_m3 (V),odo_m1 (tcks/cyc),odo_m2 (tcks/cyc),odo_m3 (tcks/cyc),w_m1 (rad/s),w_m2 (rad/s),w_m3 (rad/s),w_r_m1 (rad/s),w_r_m2 (rad/s),w_r_m3 (rad/s),w_e_m1 (rad/s),w_e_m2 (rad/s),w_e_m3 (rad/s),w_eint_m1 (rad/s),w_eint_m2 (rad/s),w_eint_m3 (rad/s),v_rob (m/s),vn_rob (m/s),w_rob (rad/s),v_r_rob (m/s),vn_r_rob (m/s),w_r_rob (rad/s),v_pd_r_rob (m/s),vn_pd_r_rob (m/s),w_pd_r_rob (rad/s),v_ff_r_rob (m/s),vn_ff_r_rob (m/s),w_ff_r_rob (rad/s),px_loc (m),py_loc (m),pth_loc (rad),px_r_loc (m),py_r_loc (m),pth_r_loc (rad),px_r_1deriv_loc,py_r_1deriv_loc,pth_r_1deriv_loc,px_r_2deriv_loc,py_r_2deriv_loc,pth_r_2deriv_loc,px_e_loc (m),py_e_loc (m),pth_e_loc (rad),px_e_1deriv_loc,py_e_1deriv_loc,pth_e_1deriv_loc,px_gt (m),py_gt (m),pth_gt (rad),px_odo (m),py_odo (m),pth_odo (rad),px (m),py (m),pth (rad),px_r (m),py_r (m),pth_r (rad),px_r_1deriv,py_r_1deriv,pth_r_1deriv,px_r_2deriv,py_r_2deriv,pth_r_2deriv,xvel,i_global,u_ref,
0,0,1,0,0,0,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00233561295426,-0.000209533487104,-0.00360696444767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000702027929947,-0.000357365730451,0.0000171101710277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.01,0,1,0.560372108351,0.770511648983,0.560372108351,-8,-11,-8,-0.409061543436,-0.562459622225,-0.409061543436,0,0,0,0.409061543436,0.562459622225,0.409061543436,0,0,0,0.00451678552617,-0.00260776733941,-0.120358492588,0,0,0,0.00233561295426,-0.000209533487104,-0.00360696444767,0,0,0,0.0000451678525354,-0.00002607767182,-0.00120358492588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05129674416E-7,-1.52530702735E-7,6.70281224302E-7,0.0000451364331348,-0.0000261320162651,-0.00120358492588,0.0000451364331348,-0.0000261320162651,-0.00120358492588,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.02,0,1,0.560372108351,-0.0700465135439,0.210139540632,-8,1,-3,-0.409061543436,0.0511326929295,-0.153398078789,0,0,0,0.409061543436,-0.0511326929295,0.153398078789,0,0,0,-0.0135503565785,-0.000869255779802,-0.044577219477,0,0,0,0.00233561295426,-0.000209533487104,-0.00360696444767,0,0,0,-0.0000903240919148,-0.000034750092383,-0.00164935712065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54049574173E-7,-1.3182457792E-8,1.66961143577E-7,-0.0000903812843433,-0.0000346010684997,-0.00164935712065,-0.0000903812843433,-0.0000346010684997,-0.00164935712065,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.03,0.04,1,2.00439742138,-2.43831619888,-0.118673171473,2,9,0,0.102265385859,0.460194236366,0,2.0612547266,-2.25447727963,-0.0826688303207,1.95898934074,-2.714671516,-0.0826688303207,0.0195898934074,-0.02714671516,-0.000826688303207,-0.0105391662277,0.00956181357782,0.0490349414247,0.127076140813,-0.00047404317069,-0.0240520693182,0.0212249174695,-0.000594903218729,0.00462168627148,0.105851223343,0.000120860048039,-0.0286737555897,-0.000195732781964,0.0000609123369788,-0.0011590077064,0.00119999919402,1.3908089363E-6,-0.000314159265359,0.104999929477,0.000121695781927,-0.0274889357189,0.024184599141,0.0000280301493317,-0.00633151750185,0.00139573197598,-0.0000595215280425,0.000844848441043,0.0348932993996,-0.00148803820106,0.0211212110261,2.62299158749E-6,7.55246048811E-7,-3.79635321222E-6,-0.000195662052648,0.0000611391518189,-0.0011590077064,-0.000195662052648,0.0000611391518189,-0.0011590077064,0.0012,0,-0.000314159265359,0.105,0,-0.0274889357189,0.0241846153846,0,-0.00633151750185,0.75,0,0.75,
0.04,0.04,1,2.14390560483,-1.92236345522,-1.51638532407,-1,-11,20,-0.0511326929295,-0.562459622225,1.02265385859,2.0612547266,-2.25447727963,-0.0826688303207,2.11238741953,-1.69201765741,-1.10532268891,0.0407137676026,-0.044066891734,-0.0118799151923,0.0150559517539,-0.0452013005497,0.0356617755816,0.127076140813,-0.00047404317069,-0.0240520693182,0.0212249174695,-0.000594903218729,0.00462168627148,0.105851223343,0.000120860048039,-0.0286737555897,-0.0000451515303562,-0.000391030868212,-0.000802389950586,0.00119999919402,1.3908089363E-6,-0.000314159265359,0.104999929477,0.000121695781927,-0.0274889357189,0.024184599141,0.0000280301493317,-0.00633151750185,0.00139573197598,-0.0000595215280425,0.000844848441043,0.0348932993996,-0.00148803820106,0.0211212110261,8.55169673741E-6,1.332523766E-6,-8.44529768054E-6,-0.0000454652750266,-0.000390994513203,-0.000802389950586,-0.0000454652750266,-0.000390994513203,-0.000802389950586,0.0012,0,-0.000314159265359,0.105,0,-0.0274889357189,0.0241846153846,0,-0.00633151750185,0.75,0,0.75,
0.05,0.04,1,1.52405978585,-2.23102813704,1.05119951745,22,-2,-17,1.12491924445,-0.102265385859,-0.869255779802,2.0612547266,-2.25447727963,-0.0826688303207,0.936335482147,-2.15221189377,0.786586949481,0.0500771224241,-0.0655890106718,-0.00401404569751,0.0361342842094,0.0469398121093,0.0133731658431,0.127076140813,-0.00047404317069,-0.0240520693182,0.0212249174695,-0.000594903218729,0.00462168627148,0.105851223343,0.000120860048039,-0.0286737555897,0.000316139018666,0.0000783732942165,-0.000668658292155,0.00119999919402,1.3908089363E-6,-0.000314159265359,0.104999929477,0.000121695781927,-0.0274889357189,0.024184599141,0.0000280301493317,-0.00633151750185,0.00139573197598,-0.0000595215280425,0.000844848441043,0.0348932993996,-0.00148803820106,0.0211212110261,0.0000299338098557,1.12251223072E-6,-0.0000213412495181,0.000316191352941,0.0000781618877354,-0.000668658292155,0.000316191352941,0.0000781618877354,-0.000668658292155,0.0012,0,-0.000314159265359,0.105,0,-0.0274889357189,0.0241846153846,0,-0.00633151750185,0.75,0,0.75,
0.06,0.04,1,2.01841254408,-2.08200060805,1.55554363055,6,-9,-25,0.306796157577,-0.460194236366,-1.27831732324,2.0612547266,-2.25447727963,-0.0826688303207,1.75445856902,-1.79428304327,1.19564849292,0.0676217081143,-0.0835318411044,0.00794243923167,0.0225839276308,0.0408550216507,-0.124816214536,0.127076140813,-0.00047404317069,-0.0240520693182,0.0212249174695,-0.000594903218729,0.00462168627148,0.105851223343,0.000120860048039,-0.0286737555897,0.000541880211503,0.000487318015807,-0.00191682043751,0.00119999919402,1.3908089363E-6,-0.000314159265359,0.104999929477,0.000121695781927,-0.0274889357189,0.024184599141,0.0000280301493317,-0.00633151750185,0.00139573197598,-0.0000595215280425,0.000844848441043,0.0348932993996,-0.00148803820106,0.0211212110261,0.0000876326012076,1.80302208719E-7,-0.0000284944289811,0.000542813316575,0.000486278434127,-0.00191682043751,0.000542813316575,0.000486278434127,-0.00191682043751,0.0012,0,-0.000314159265359,0.105,0,-0.0274889357189,0.0241846153846,0,-0.00633151750185,0.75,0,0.75,
0.07,0.08,1,2.86678525831,-2.64901711179,-0.657690643012,-10,-4,8,-0.511326929295,-0.204530771718,0.409061543436,2.64038849373,-2.90425997986,-0.0854024473217,3.15171542302,-2.69972920814,-0.494463990758,0.0991388623445,-0.110529133186,0.00299779932409,-0.00903357105234,-0.0260776733941,-0.0267463316862,0.163261418728,-0.00158213205531,-0.0304495224037,0.0279885785552,-0.00187343903359,0.00624885932127,0.135272840173,0.000291306978281,-0.0366983817249,0.000451414142175,0.00022668619829,-0.00218428375437,0.00319999236625,6.9897024559E-6,-0.000837758040957,0.134999677951,0.000294878072358,-0.0353429173529,0.0241845576911,0.000052826020484,-0.00633151750185,0.00274857822408,-0.000219696495835,0.00134652571342,0.0338211562023,-0.0040043741948,0.0125419318093,0.000180446935701,-0.0000112706284199,-0.0000927066264772,0.000451908211892,0.000225699641727,-0.00218428375437,0.000451908211892,0.000225699641727,-0.00218428375437,0.0032,0,-0.000837758040957,0.135,0,-0.0353429173529,0.0241846153846,0,-0.00633151750185,0.75,1,0.5,
0.08,0.08,1,2.36230543116,-2.69052737519,-0.323130115341,10,-5,3,0.511326929295,-0.255663464648,0.153398078789,2.64038849373,-2.90425997986,-0.0854024473217,2.12906156443,-2.64859651521,-0.23880052611,0.120429477989,-0.137015098338,0.000609794062987,0.0225839276308,-0.000869255779802,0.0356617755816,0.163261418728,-0.00158213205531,-0.0304495224037,0.0279885785552,-0.00187343903359,0.00624885932127,0.135272840173,0.000291306978281,-0.0366983817249,0.000677334228904,0.000217832643829,-0.00182766599856,0.00319999236625,6.9897024559E-6,-0.000837758040957,0.134999677951,0.000294878072358,-0.0353429173529,0.0241845576911,0.000052826020484,-0.00633151750185,0.00274857822408,-0.000219696495835,0.00134652571342,0.0338211562023,-0.0040043741948,0.0125419318093,0.000319342478178,-0.0000275454167422,-0.000171652763714,0.000677731222728,0.000216594339958,-0.00182766599856,0.000677731222728,0.000216594339958,-0.00182766599856,0.0032,0,-0.000837758040957,0.135,0,-0.0353429173529,0.0241846153846,0,-0.00633151750185,0.75,1,0.5,
0.09,0.08,1,2.53563901365,-2.55453052625,-0.485606671975,6,-12,5,0.306796157577,-0.613592315154,0.255663464648,2.64038849373,-2.90425997986,-0.0854024473217,2.33359233615,-2.29066766471,-0.341065911969,0.14376540135,-0.159921774985,-0.00280086505671,0.027100713157,-0.0139080924768,-0.0044577219477,0.163261418728,-0.00158213205531,-0.0304495224037,0.0279885785552,-0.00187343903359,0.00624885932127,0.135272840173,0.000291306978281,-0.0366983817249,0.000948331649405,0.0000787819125325,-0.00187224321803,0.00319999236625,6.9897024559E-6,-0.000837758040957,0.134999677951,0.000294878072358,-0.0353429173529,0.0241845576911,0.000052826020484,-0.00633151750185,0.00274857822408,-0.000219696495835,0.00134652571342,0.0338211562023,-0.0040043741948,0.0125419318093,0.000531524070539,-0.0000441066295025,-0.000222281081143,0.00094847748613,0.0000770062679939,-0.00187224321803,0.00094847748613,0.0000770062679939,-0.00187224321803,0.0032,0,-0.000837758040957,0.135,0,-0.0353429173529,0.0241846153846,0,-0.00633151750185,0.75,1,0.5,
