METADATA,
,Tscript (s),wmax (bool),wmax (rad/s),L (m),wh D (m),ctrlMode,robpCtrlMode,FREQDIVPOSCTRL,feed-forward (bool),
General,0.01,OFF,0,0.195,0.102,cmRobP,pcmTXT,4,ON,
,ri (ohm),ki (Nm/A),vmax (V),imax (A),n:1 (gear),bv (dynamic),fc (static),kc (V / rad/s),ti (s),
Motor,0.6,0.3624,24,6,1,0.001316282616,0.80734166,0.547956859752217,0.208736119092,
Robot,(v):,(vn):,(w):,
kp,1.019649723,1.031417953,0.978734897,
tau (s),0.121202798,0.105652003,0.090826489,
kc,5.31321566904839,4.57866482846397,4.14804307364209,
td (s),0.0744844569896801,0.0473159100918112,0.0127519342197234,
,Filename,Nfuture,Npoly,Nudiv,
pcmTxt,0,18,2,0,
DATA,
time (s),time w/ T*4 (s),traj (bool),v_m1 (V),v_m2 (V),v_m3 (V),odo_m1 (tcks/cyc),odo_m2 (tcks/cyc),odo_m3 (tcks/cyc),w_m1 (rad/s),w_m2 (rad/s),w_m3 (rad/s),w_r_m1 (rad/s),w_r_m2 (rad/s),w_r_m3 (rad/s),w_e_m1 (rad/s),w_e_m2 (rad/s),w_e_m3 (rad/s),w_eint_m1 (rad/s),w_eint_m2 (rad/s),w_eint_m3 (rad/s),v_rob (m/s),vn_rob (m/s),w_rob (rad/s),v_r_rob (m/s),vn_r_rob (m/s),w_r_rob (rad/s),v_pd_r_rob (m/s),vn_pd_r_rob (m/s),w_pd_r_rob (rad/s),v_ff_r_rob (m/s),vn_ff_r_rob (m/s),w_ff_r_rob (rad/s),px_loc (m),py_loc (m),pth_loc (rad),px_r_loc (m),py_r_loc (m),pth_r_loc (rad),px_r_1deriv_loc,py_r_1deriv_loc,pth_r_1deriv_loc,px_r_2deriv_loc,py_r_2deriv_loc,pth_r_2deriv_loc,px_e_loc (m),py_e_loc (m),pth_e_loc (rad),px_e_1deriv_loc,py_e_1deriv_loc,pth_e_1deriv_loc,px_gt (m),py_gt (m),pth_gt (rad),px_odo (m),py_odo (m),pth_odo (rad),px (m),py (m),pth (rad),px_r (m),py_r (m),pth_r (rad),px_r_1deriv,py_r_1deriv,pth_r_1deriv,px_r_2deriv,py_r_2deriv,pth_r_2deriv,xvel,i_global,u_ref,
0,0,1,0,0,0,7,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0002617556447,0.000560318739217,0.000184908226511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000187428478966,-0.0000604379820288,-0.000154500689654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.01,0,1,1.05069770316,-0.420279081264,0.210139540632,-15,6,-3,-0.766990393943,0.306796157577,-0.153398078789,0,0,0,0.766990393943,-0.306796157577,0.153398078789,0,0,0,-0.0316174986832,-0.00260776733941,-0.0534926633724,0,0,0,-0.0002617556447,0.000560318739217,0.000184908226511,0,0,0,-0.000316174983062,-0.0000260776730832,-0.000534926633724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31514525492E-7,-6.06484960031E-8,3.35704612553E-7,-0.000316188887467,-0.0000259085389409,-0.000534926633724,-0.000316188887467,-0.0000259085389409,-0.000534926633724,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.02,0,1,0.420279081264,0,-0.140093027088,-6,0,2,-0.306796157577,0,0.102265385859,0,0,0,0.306796157577,0,-0.102265385859,0,0,0,-0.00903357105234,-0.00869255779802,-0.0178308877908,0,0,0,-0.0002617556447,0.000560318739217,0.000184908226511,0,0,0,-0.000406506038559,-0.00011305962734,-0.000713235511632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30369925148E-7,-6.32276879742E-8,1.70845278782E-7,-0.000406586573298,-0.000112769664065,-0.000713235511632,-0.000406586573298,-0.000112769664065,-0.000713235511632,0,0,0,0,0,0,0,0,0,0.75,0,0,
0.03,0.04,1,3.75439709811,-3.84479962084,-0.406505300566,0,4,5,0,0.204530771718,0.255663464648,5.00666469149,-4.95957254323,-0.0275118925095,5.00666469149,-5.16410331495,-0.283175357157,0.0500666469149,-0.0516410331495,-0.00283175357157,-0.00602238070156,-0.00521553467881,0.0401194975293,0.293454497264,0.00173597086573,0.00170699665512,0.0253466745924,0.00165339594808,0.00170699665512,0.268107822672,0.0000825749176508,0,-0.000466775171409,-0.000165051876504,-0.000312040536339,0.00119999994158,3.7444863753E-7,0,0.269999986855,0.0000842509434442,0,0.0278548046885,8.6918284767E-6,0,0.00166677511299,0.000165426325141,0.000312040536339,0.0416693778247,0.00413565812853,0.00780101340847,2.62164894593E-6,3.3699727453E-8,-2.85226496998E-6,-0.000466826651559,-0.000164906215696,-0.000312040536339,-0.000466826651559,-0.000164906215696,-0.000312040536339,0.0012,0,0,0.27,0,0,0.0278548060446,0,0,0.75,0,0.75,
0.04,0.04,1,3.32797267383,-3.21698252339,-0.571894095881,19,-22,7,0.971521165661,-1.12491924445,0.357928850507,5.00666469149,-4.95957254323,-0.0275118925095,4.03514352583,-3.83465329878,-0.385440743016,0.0904180821732,-0.0899875661373,-0.00668616100173,0.061729402191,-0.0147773482566,0.0178308877908,0.293454497264,0.00173597086573,0.00170699665512,0.0253466745924,0.00165339594808,0.00170699665512,0.268107822672,0.0000825749176508,0,0.000150489426889,-0.000312742126094,-0.000133731658431,0.00119999994158,3.7444863753E-7,0,0.269999986855,0.0000842509434442,0,0.0278548046885,8.6918284767E-6,0,0.00166677511299,0.000165426325141,0.000312040536339,0.0416693778247,0.00413565812853,0.00780101340847,0.0000126858258227,2.0191830572E-6,4.38928717597E-6,0.00015044760202,-0.000312762248498,-0.000133731658431,0.00015044760202,-0.000312762248498,-0.000133731658431,0.0012,0,0,0.27,0,0,0.0278548060446,0,0,0.75,0,0.75,
0.05,0.04,1,3.66878636202,-3.96358435171,0.94425756003,11,0,-14,0.562459622225,0,-0.715857701013,5.00666469149,-4.95957254323,-0.0275118925095,4.44420506926,-4.95957254323,0.688345808504,0.134860132866,-0.13958329157,0.000197297083306,0.0165615469293,0.0339009754123,-0.0133731658431,0.293454497264,0.00173597086573,0.00170699665512,0.0253466745924,0.00165339594808,0.00170699665512,0.268107822672,0.0000825749176508,0,0.000316146718236,0.0000262877557736,-0.000267463316862,0.00119999994158,3.7444863753E-7,0,0.269999986855,0.0000842509434442,0,0.0278548046885,8.6918284767E-6,0,0.00166677511299,0.000165426325141,0.000312040536339,0.0416693778247,0.00413565812853,0.00780101340847,0.000100300210761,7.90347894508E-6,0.0000534856257665,0.000316153737938,0.0000262031971845,-0.000267463316862,0.000316153737938,0.0000262031971845,-0.000267463316862,0.0012,0,0,0.27,0,0,0.0278548060446,0,0,0.75,0,0.75,
0.06,0.04,1,3.84417357777,-3.80017093168,-0.111601442866,9,-10,1,0.460194236366,-0.511326929295,0.0511326929295,5.00666469149,-4.95957254323,-0.0275118925095,4.54647045512,-4.44824561393,-0.078644585439,0.180324837417,-0.184065747709,-0.000589148771084,0.0286063083324,-0.00260776733941,-6.04929212136E-19,0.293454497264,0.00173597086573,0.00170699665512,0.0253466745924,0.00165339594808,0.00170699665512,0.268107822672,0.0000825749176508,0,0.00060220980156,2.10082379542E-7,-0.000267463316862,0.00119999994158,3.7444863753E-7,0,0.269999986855,0.0000842509434442,0,0.0278548046885,8.6918284767E-6,0,0.00166677511299,0.000165426325141,0.000312040536339,0.0416693778247,0.00413565812853,0.00780101340847,0.000307567592245,0.0000144977793752,0.0000722810389649,0.000602209836209,4.90133429762E-8,-0.000267463316862,0.000602209836209,4.90133429762E-8,-0.000267463316862,0.0012,0,0,0.27,0,0,0.0278548060446,0,0,0.75,0,0.75,
0.07,0.08,1,3.93410925691,-3.88240635453,-0.295212557685,16,-18,4,0.818123086872,-0.920388472731,0.204530771718,5.31336730505,-5.30848819274,0.00157639240884,4.49524421817,-4.38809972001,-0.202954379309,0.225277279599,-0.227946744909,-0.00261869256418,0.0511902359633,-0.00869255779802,0.0089154438954,0.312759087678,0.000029347567278,0.000562787590404,0.0152293882484,-0.0000230244231337,0.000562787590404,0.29752969943,0.0000523719904118,0,0.00111411217736,-0.0000867691852494,-0.000178308877908,0.00319999994913,5.70588406281E-7,0,0.299999995231,0.0000534926630889,0,0.0278548056017,4.96675918382E-6,0,0.00208588777177,0.0000873397736556,0.000178308877908,0.0104778164696,-0.00195216378714,-0.00334329146078,0.000654385774396,0.0000210323723877,0.0000724442593711,0.00111409668793,-0.0000869678399611,-0.000178308877908,0.00111409668793,-0.0000869678399611,-0.000178308877908,0.0032,0,0,0.3,0,0,0.0278548060446,0,0,0.75,1,0.5,
0.08,0.08,1,3.81722827864,-3.79207351035,0.205283727106,24,-25,-3,1.22718463031,-1.27831732324,-0.153398078789,5.31336730505,-5.30848819274,0.00157639240884,4.08618267474,-4.0301708695,0.154974471197,0.266139106346,-0.268248453604,-0.0010689478522,0.0737741635941,0.00434627889901,-0.0178308877908,0.312759087678,0.000029347567278,0.000562787590404,0.0152293882484,-0.0000230244231337,0.000562787590404,0.29752969943,0.0000523719904118,0,0.00185186926633,-0.0000431077388463,-0.000356617755816,0.00319999994913,5.70588406281E-7,0,0.299999995231,0.0000534926630889,0,0.0278548056017,4.96675918382E-6,0,0.00208588777177,0.0000873397736556,0.000178308877908,0.0104778164696,-0.00195216378714,-0.00334329146078,0.00114539789502,0.0000259755543084,0.0000748980901975,0.00185185377559,-0.0000437681455529,-0.000356617755816,0.00185185377559,-0.0000437681455529,-0.000356617755816,0.0032,0,0,0.3,0,0,0.0278548060446,0,0,0.75,1,0.5,
0.09,0.08,1,3.80705216648,-3.78042702243,0.582465708552,28,-29,-8,1.43171540203,-1.48284809496,-0.409061543436,5.31336730505,-5.30848819274,0.00157639240884,3.88165190302,-3.82564009778,0.410637935845,0.304955625376,-0.306504854582,0.00303743150625,0.0858189249972,0.013038836697,-0.0401194975293,0.312759087678,0.000029347567278,0.000562787590404,0.0152293882484,-0.0000230244231337,0.000562787590404,0.29752969943,0.0000523719904118,0,0.00271007565612,0.0000880235913434,-0.000757812731109,0.00319999994913,5.70588406281E-7,0,0.299999995231,0.0000534926630889,0,0.0278548056017,4.96675918382E-6,0,0.00208588777177,0.0000873397736556,0.000178308877908,0.0104778164696,-0.00195216378714,-0.00334329146078,0.00178193149623,0.000028569927963,0.000092420415091,0.00271014158334,0.0000859698364304,-0.000757812731109,0.00271014158334,0.0000859698364304,-0.000757812731109,0.0032,0,0,0.3,0,0,0.0278548060446,0,0,0.75,1,0.5,
