,#samples,Mean (ms),Std (ms),Median (ms),Min (ms),Max (ms)
Stand-by,24044,0.137461475004159,0.028779313802427,0.1412755,0.025072,0.314051
M = 3,1071,0.211412306255836,0.0346628286825558,0.213163,0.042449,0.326941
M = 4,1071,0.224867421101774,0.0287354424183873,0.227217,0.045111,0.32731
M = 5,1071,0.231815264239029,0.0325411846435531,0.2343,0.045729,0.344687
M = 6,1071,0.243792138188609,0.0325828971516915,0.246592,0.050101,0.420904
M = 7,1071,0.249452905695612,0.0306144041975582,0.252275,0.049354,0.357245
M = 8,1071,0.260616267973856,0.0285346489039071,0.260331,0.05486,0.374888
M = 9,1071,0.268383493930906,0.0283636241144252,0.269469,0.056096,0.396708
M = 10,1071,0.274597241830065,0.0291830628949919,0.27741,0.058623,0.37838
M = 11,1071,0.283793731092437,0.0303862408145491,0.284553,0.060909,0.432566
M = 12,1071,0.29419543977591,0.0354930998794707,0.294563,0.056604,0.418154
M = 13,1071,0.300265030812325,0.0295590553745464,0.300657,0.067726,0.433687
M = 14,1071,0.31033920821662,0.0302543268214519,0.311445,0.061934,0.418145
M = 15,1071,0.312578125116713,0.0772865182350606,0.333959,0.062891,0.50063
M = 16,1071,0.334846056956116,0.0317439839954044,0.336397,0.074,0.45977
M = 17,1071,0.346489019607843,0.0323915432722714,0.346506,0.078241,0.485369
M = 18,1071,0.352686767507003,0.0359572663639149,0.354717,0.072717,0.493901
M = 19,1071,0.361080872082166,0.0352179050215643,0.362663,0.07068,0.501837
M = 20,1071,0.367649970121382,0.0392485360886243,0.369655,0.081314,0.502564
M = 21,1071,0.380488217553688,0.0358177370536081,0.381709,0.085657,0.546525
M = 22,1071,0.381825299719888,0.0637749434981288,0.39198,0.082134,0.521265
M = 23,1071,0.4017011232493,0.0487588169100233,0.407286,0.08286,0.52515
M = 24,1071,0.404527937441643,0.0432178504299964,0.4074,0.088916,0.562291
