Nfuture:,
13,

traj (bool),delta_time (ms),
0,0.196784,
0,0.147226,
0,0.151963,
0,0.151566,
0,0.145214,
0,0.032965,
0,0.130681,
0,0.149245,
0,0.155784,
0,0.143074,
0,0.178283,
0,0.128432,
0,0.14188,
0,0.163,
0,0.174741,
0,0.1464,
0,0.145854,
0,0.146414,
0,0.161976,
0,0.031632,
0,0.13534,
0,0.137396,
0,0.045607,
0,0.149418,
0,0.137826,
0,0.131058,
0,0.142457,
0,0.136192,
0,0.136593,
0,0.139926,
0,0.16766,
0,0.140843,
0,0.146623,
0,0.155638,
0,0.181308,
0,0.14954,
0,0.138013,
0,0.146498,
0,0.134287,
0,0.137251,
0,0.143745,
0,0.135894,
0,0.149037,
0,0.144493,
0,0.160672,
0,0.126015,
0,0.151846,
0,0.160633,
0,0.134672,
0,0.160276,
0,0.168228,
0,0.146579,
0,0.157456,
0,0.158457,
0,0.145847,
0,0.157434,
0,0.132193,
0,0.135376,
0,0.14602,
0,0.15083,
0,0.147948,
0,0.134767,
0,0.14992,
0,0.143552,
0,0.143133,
0,0.141643,
0,0.142917,
0,0.139518,
0,0.141963,
0,0.133099,
0,0.038854,
0,0.058388,
0,0.048287,
0,0.047767,
0,0.03682,
0,0.026377,
0,0.02845,
0,0.087144,
0,0.157525,
1,0.323594,
1,0.328744,
1,0.295071,
1,0.304055,
1,0.433687,
1,0.069356,
1,0.121055,
1,0.28822,
1,0.312771,
1,0.278936,
1,0.28632,
1,0.286383,
1,0.292698,
1,0.287138,
1,0.279465,
1,0.333816,
1,0.303908,
1,0.29223,
1,0.279314,
1,0.319541,
1,0.310154,
1,0.312609,
1,0.292415,
1,0.295886,
1,0.318996,
1,0.290237,
1,0.294917,
1,0.306319,
1,0.284227,
1,0.280428,
1,0.281604,
1,0.3082,
1,0.288686,
1,0.279149,
1,0.278908,
1,0.324889,
1,0.301946,
1,0.288051,
1,0.279275,
1,0.306673,
1,0.32669,
1,0.305545,
1,0.283295,
1,0.300311,
1,0.30273,
1,0.318161,
1,0.283805,
1,0.324273,
1,0.282809,
1,0.305149,
1,0.282585,
1,0.349479,
1,0.294628,
1,0.28325,
1,0.281256,
1,0.307596,
1,0.308088,
1,0.331128,
1,0.289408,
1,0.326132,
1,0.306952,
1,0.283756,
1,0.315603,
1,0.335284,
1,0.31214,
1,0.282788,
1,0.305999,
